,RECORD,BBLE,LOT,EASEMENT,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,NA_COUNT_PRE,BORO,AVG_LTFRONT,AVG_LTDEPTH,AVG_STORIES,AVG_ZIP,AVG_BLDFRONT,AVG_BLDDEPTH,NA_COUNT_POST
867651,867652,1009240013,13,,D4,2,40.0,92.0,6.0,2330000,216000,1048500,20900,20900,1017.0,10003.0,,40.0,79.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
460908,460909,4001601046,1046,,R4,2,200.0,100.0,6.0,38804,4973,17462,2090,2090,1017.0,11104.0,,26.0,44.0,3,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
706291,706292,3023690037,37,,G7,4,25.0,89.0,3.0,41900,18855,18855,0,0,,11211.0,,25.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
168573,168574,1015991356,1356,,R4,2,81.0,120.0,12.0,108062,952,48628,417,48093,5114.0,10026.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
715769,715770,4113200016,16,,A1,1,25.0,100.0,2.0,353000,9763,17583,0,0,,11411.0,,16.0,38.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
858593,858594,4122500042,42,,A1,1,40.0,100.0,2.0,311000,8495,16410,1620,1620,1017.0,11434.0,,22.0,28.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
655206,655207,4118030028,28,,A5,1,20.0,100.0,2.0,397000,11362,17971,0,0,,11420.0,,20.0,40.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
898562,898563,4049461079,1079,,R5,4,41.0,104.0,8.0,61531,4014,27689,0,0,,11354.0,,26.0,44.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
239207,239208,1014871266,1266,,R4,2,81.0,120.0,39.0,298028,22790,134113,0,0,,10021.0,,70.0,102.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
710669,710670,3077870022,22,,A9,1,20.0,100.0,2.0,371000,11189,17665,11189,12073,1015.0,11210.0,,13.0,45.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
37859,37860,3061760024,24,,C0,1,25.0,100.0,2.0,745000,23223,36120,1620,1620,1017.0,11228.0,,21.0,58.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
481603,481604,5041310071,71,,A5,1,15.0,85.0,3.0,342000,12666,20148,1620,1620,1017.0,10306.0,,15.0,45.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
808823,808824,3010180018,18,,B3,1,16.0,100.0,2.0,861000,4421,22394,1620,1620,1017.0,11215.0,,16.0,42.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
107776,107777,4117850051,51,,A2,1,40.0,100.0,1.0,390000,11341,16442,0,0,,11420.0,,18.0,40.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
753556,753557,3063790015,15,,C0,1,60.0,96.0,2.7,890000,24803,38592,7380,7380,1010.0,11214.0,,34.0,36.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
730812,730813,2037410053,53,,C0,1,25.0,100.0,2.0,447000,15092,24008,0,0,,10472.0,,20.0,67.0,8,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
115606,115607,4029830068,68,,A5,1,20.0,100.0,1.0,419000,15967,23150,14815,14815,1015.0,11379.0,,20.0,41.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
224862,224863,3050720039,39,,S1,1,21.0,99.0,2.0,370000,11195,20304,0,0,,11218.0,,21.0,43.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
543109,543110,3074270059,59,,B9,1,40.0,100.0,3.0,533000,16360,25275,1620,1620,1017.0,11235.0,,20.0,36.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
565146,565147,4118100021,21,,A2,1,50.0,100.0,1.0,423000,15300,25380,1620,1620,1017.0,11420.0,,37.0,46.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
161372,161373,4059860022,22,,A2,1,68.0,90.0,1.0,630000,18853,33457,1620,1620,1017.0,11360.0,,21.0,50.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
642700,642701,1021750175,175,,C6,2,125.0,100.0,5.0,1550000,149850,697500,2090,2090,1017.0,10040.0,,125.0,85.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
502651,502652,4096760022,22,,V1,4,100.0,92.0,3.0,743820,334719,334719,0,0,,11435.0,,26.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
898553,898554,4162960039,39,,A2,1,40.0,100.0,1.0,491000,16404,25569,1620,1620,1017.0,11694.0,,25.0,40.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
37355,37356,4131370037,37,,A1,1,50.0,100.0,1.7,434000,14069,22532,0,0,,11413.0,,24.0,32.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
2050,2051,3056230030,30,,S1,1,20.0,100.0,2.0,636000,19148,34794,0,0,,11219.0,,20.0,46.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
287371,287372,3086040005,5,,A2,1,40.0,200.0,1.0,1814000,37904,75892,5760,5760,1010.0,11234.0,,30.0,67.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
823414,823415,3067750001,1,,M1,4,80.0,100.0,2.0,1380000,225900,621000,225900,621000,1021.0,11229.0,X5,70.0,90.0,2,3,33.0,101.0,3.0,11220.0,25.0,52.0,1
92577,92578,5014610028,28,,A2,1,40.0,100.0,2.0,406000,13355,22222,1620,1620,1017.0,10302.0,,26.0,28.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
3022,3023,1010031129,1129,,R4,2,200.0,200.0,35.0,102874,18519,46293,0,0,,10019.0,,70.0,102.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
226227,226228,4131320046,46,,A1,1,60.0,100.0,2.0,411000,14595,22809,1620,1620,1017.0,11413.0,,25.0,41.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
146351,146352,4006040006,6,,C0,1,25.0,80.0,1.0,586000,9843,17914,0,0,,11106.0,,22.0,30.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
365610,365611,4019660066,66,,C2,2A,25.0,100.0,3.0,869000,41503,75453,35503,69453,5114.0,11368.0,,25.0,55.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
646231,646232,3009000035,35,,C2,2A,20.0,100.0,3.0,474000,937,35271,0,0,,11215.0,,20.0,70.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
240996,240997,4107030074,74,,A1,1,40.0,100.0,2.5,406000,12619,19629,0,0,,11428.0,,24.0,26.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
409374,409375,4132430093,93,,A2,1,38.0,100.0,1.0,354000,11846,19414,1620,1620,1017.0,11422.0,,24.0,49.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
493510,493511,1009201081,1081,,R4,2,81.0,120.0,49.0,181378,14820,81620,2090,2090,1017.0,10016.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
