,merchantnum_amount_sum_3,merchantnum_amount_week_diff_sum_3,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,newmerch_30,newmerch_15,cardnum_merchantnum_30,cardnum_merchantnum_15,cardnum_zip_30,cardnum_state_30,Fraud
22,14.94,-369.9159583198359,14.94,-369.9159583198359,5,4,12,8,12,7,0
23,33.84,-351.015958319836,33.84,-351.015958319836,0,0,3,1,3,3,0
24,1.46,-383.39595831983587,1.46,-383.39595831983587,2,2,9,7,8,7,0
25,62.8,-322.0559583198359,62.8,-322.0559583198359,1,1,4,3,4,2,0
26,25.77,-359.08595831983587,25.77,-359.08595831983587,0,0,2,2,1,1,0
27,1000.0,615.144041680164,1000.0,615.144041680164,0,0,14,7,14,11,0
28,138.95,-245.9059583198359,138.95,-245.9059583198359,1,1,3,2,3,2,0
29,7.86,-761.8519166396718,7.86,-761.8519166396718,2,2,9,7,8,7,0
30,68.0,-316.8559583198359,68.0,-316.8559583198359,9,3,33,15,29,14,0
31,636.0,251.14404168016412,636.0,251.14404168016412,0,0,8,5,8,3,0
32,420.55,35.694041680164105,793.6500000000002,29.375704898215126,0,0,10,7,8,5,0
33,480.0,-289.7119166396718,480.0,-289.7119166396718,1,0,4,3,3,1,0
34,318.41,-453.7711665700022,318.41,-453.7711665700022,1,0,7,4,6,5,0
35,80.0,-304.8559583198359,80.0,-304.8559583198359,3,3,5,3,3,2,0
36,179.99,-204.8659583198359,179.99,-204.8659583198359,0,0,6,3,7,5,0
37,176.12,-208.7359583198359,176.12,-208.7359583198359,0,0,3,2,2,1,0
38,84.51,-300.3459583198359,84.51,-300.3459583198359,4,2,9,6,8,5,0
39,108.47,-276.385958319836,288.4600000000001,-481.2519166396718,1,1,7,4,8,5,0
40,27.31,-357.5459583198359,27.31,-357.5459583198359,1,1,1,1,1,1,0
41,76.95,-307.9059583198359,76.95,-307.9059583198359,2,0,10,6,9,5,0
42,1168.47,398.75808336032816,1168.47,398.75808336032816,0,0,14,7,14,11,0
43,340.0,-429.71191663967176,1080.65,-68.48025342162077,0,0,11,8,8,5,0
44,730.0,-424.56787495950766,730.0,-424.56787495950766,1,0,4,3,3,1,0
45,6.87,-377.9859583198359,6.87,-377.9859583198359,0,0,4,4,3,1,0
46,425.85,-728.7178749595078,138.85,-630.8619166396718,1,0,8,6,7,5,0
47,113.96,-270.89595831983587,113.96,-270.89595831983587,2,0,5,3,5,4,0
48,32.95,-351.9059583198359,32.95,-351.9059583198359,0,0,2,2,2,1,0
49,219.67,-165.18595831983592,219.67,-165.18595831983592,0,0,6,4,5,5,0
50,36.95,-347.9059583198359,36.95,-347.9059583198359,3,2,11,8,11,5,0
51,95.34,-289.51595831983593,242.29,-521.9842951017849,2,1,5,4,5,4,0
52,454.48,69.62404168016411,454.48,69.62404168016411,2,2,4,3,4,3,0
53,1721.07,1336.214041680164,2357.07,1587.358083360328,0,0,8,5,8,3,0
54,453.6,68.74404168016412,453.6,68.74404168016412,0,0,1,1,1,1,0
55,1080.0,-459.4238332793436,1080.0,-459.4238332793436,1,0,4,3,3,1,0
56,325.0,-59.85595831983591,325.0,-59.85595831983591,1,1,5,2,4,4,0
57,75.87,-308.9859583198359,75.87,-308.9859583198359,9,5,14,10,8,3,0
58,3.0,-381.8559583198359,3.0,-381.8559583198359,0,0,1,1,1,1,0
59,2216.46,1831.6040416801638,2313.63,1543.9180833603284,1,1,5,3,4,3,0
60,457.0,72.1440416801641,457.0,72.1440416801641,0,0,2,1,2,2,0
61,2433.0,2048.1440416801643,2440.52,1668.338833429998,2,1,13,11,13,10,0
62,68.0,-316.8559583198359,136.0,-633.7119166396718,9,3,33,15,29,14,0
63,27.2,-357.6559583198359,481.51,-282.76429510178485,0,0,3,2,3,3,0
64,72.84,-312.01595831983593,72.84,-312.01595831983593,2,1,12,7,13,9,0
65,673.4,288.54404168016407,673.4,288.54404168016407,2,2,9,7,9,7,0
66,30.0,-739.7119166396718,15.0,-369.8559583198359,0,0,1,1,1,1,0
67,29.25,-355.6059583198359,211.25,-558.4619166396718,1,1,10,10,7,5,0
68,81.96000000000002,-687.7519166396719,81.96000000000002,-687.7519166396719,2,1,4,4,4,2,0
69,6.0,-378.8559583198359,6.0,-378.8559583198359,4,0,6,1,3,1,0
70,1028.9,644.0440416801641,1028.9,644.0440416801641,3,0,12,7,12,8,0
71,728.36,343.5040416801641,728.36,343.5040416801641,5,0,15,5,14,5,0
72,500.0,115.1440416801641,500.0,115.1440416801641,0,0,4,2,4,4,0
73,61.55,-323.3059583198359,61.55,-323.3059583198359,1,0,6,4,4,3,0
74,146.0,-238.85595831983588,146.0,-238.85595831983588,1,0,5,2,5,4,0
75,19.95,-364.9059583198359,19.95,-364.9059583198359,2,1,14,11,13,8,0
76,18.0,-366.8559583198359,18.0,-366.8559583198359,1,1,3,2,3,3,0
77,64.49,-320.3659583198359,64.49,-320.3659583198359,0,0,2,1,3,3,0
78,688.85,-850.5738332793437,401.85,-752.7178749595078,1,0,8,6,7,5,0
79,205.0,-179.85595831983588,241.95,-527.7619166396719,3,2,12,9,12,6,0
80,1140.0,755.144041680164,1276.0,121.43212504049221,9,3,34,16,30,14,0
81,582.42,197.56404168016402,582.42,197.56404168016402,0,0,12,5,12,9,0
82,579.33,-190.38191663967174,125.73,-259.1259583198359,0,0,1,1,1,1,0
83,303.02,-466.6919166396718,303.02,-466.6919166396718,1,1,2,2,2,2,0
84,66.65,-318.2059583198359,1376.81,233.1173681162661,0,0,12,11,12,10,0
85,50.84,-334.01595831983593,50.84,-334.01595831983593,0,0,1,1,1,1,0
86,1330.0,-594.2797915991796,1330.0,-594.2797915991796,1,0,4,3,3,1,0
87,18.84,-366.015958319836,38.79,-730.9219166396717,2,1,14,11,13,8,0
88,448.0,63.1440416801641,448.0,63.1440416801641,6,4,15,10,13,8,0
89,328.07,-56.78595831983591,328.07,-56.78595831983591,1,0,2,1,1,2,0
90,790.85,405.9940416801641,790.85,405.9940416801641,1,0,19,16,16,10,0
91,15.16,-369.6959583198359,15.16,-369.6959583198359,0,0,1,1,1,1,0
92,333.18,-51.6759583198359,333.18,-51.6759583198359,1,1,1,1,1,1,0
93,1678.0,1293.144041680164,1938.43,1174.155704898215,0,0,8,4,7,6,0
94,800.91,31.198083360328155,800.91,31.198083360328155,4,2,9,6,8,5,0
95,7.3,-377.5559583198359,7.3,-377.5559583198359,4,2,18,8,17,10,0
96,59.99,-324.8659583198359,59.99,-324.8659583198359,2,1,2,1,2,2,0
97,51.1,-333.7559583198359,841.95,72.23808336032823,1,0,20,17,17,10,0
98,300.0,-84.8559583198359,300.0,-84.8559583198359,0,0,3,2,3,3,0
99,7.95,-376.9059583198359,7.95,-376.9059583198359,2,2,5,5,4,4,0
100,2464.66,1694.9480833603284,2561.83,1407.2621250404925,1,1,5,3,4,3,0
101,24.0,-360.8559583198359,24.0,-360.8559583198359,0,0,2,1,2,2,0
102,39.36,-345.4959583198359,283.43,-480.8442951017849,1,1,11,7,13,10,0
103,65.98,-318.8759583198359,65.98,-318.8759583198359,0,0,4,3,4,3,0
104,408.05,23.194041680164105,408.05,23.194041680164105,1,1,6,5,6,6,0
105,14.82,-370.0359583198359,14.82,-370.0359583198359,1,1,3,3,3,2,0
106,95.5,-289.3559583198359,10765.14,10000.865704898211,2,2,4,4,4,3,0
107,213.12,-171.7359583198359,213.12,-171.7359583198359,0,0,8,5,7,8,0
108,647.0,262.1440416801641,947.0,177.2880833603282,0,0,4,3,4,4,0
109,58.96,-325.89595831983587,58.96,-325.89595831983587,2,1,7,5,7,3,0
110,140.0,-244.85595831983588,140.0,-244.85595831983588,3,1,18,5,16,12,0
111,110.0,-274.8559583198359,110.0,-274.8559583198359,1,1,5,3,4,4,0
112,18.0,-366.8559583198359,1294.0,-245.42383327934368,9,3,34,17,30,14,0
113,30.95,-353.9059583198359,30.95,-353.9059583198359,0,0,2,2,1,2,0
114,459.95,75.09404168016408,459.95,75.09404168016408,0,0,1,1,3,2,0
115,118.08,-266.77595831983587,125.38,-644.3319166396718,4,2,19,9,18,10,0
116,1031.91,647.0540416801641,1116.91,347.1980833603282,2,0,6,3,6,6,0
117,998.41,-156.15787495950775,998.41,-156.15787495950775,4,2,9,6,8,5,0
118,927.1,-997.1797915991797,1291.12,526.845704898215,0,0,2,2,2,2,0
119,581.5,-188.2119166396718,124.5,-260.3559583198359,0,0,5,1,5,4,0
120,94.97,-289.88595831983594,160.95,-608.7619166396719,0,0,5,4,4,3,0
121,195.49,-189.3659583198359,195.49,-189.3659583198359,1,1,7,5,7,6,0
122,1696.0,1311.144041680164,1696.0,1311.144041680164,0,0,1,1,2,2,0
123,1.46,-383.39595831983587,9.32,-1145.2478749595075,2,2,9,7,8,7,0
124,55.0,-329.8559583198359,305.0,-464.71191663967176,2,1,10,6,8,5,0
125,45.0,-1109.5678749595077,15.0,-369.8559583198359,1,0,5,4,4,4,0
126,123.15,-261.7059583198359,123.15,-261.7059583198359,0,0,0,0,1,1,0
127,250.0,-134.8559583198359,250.0,-134.8559583198359,1,1,4,1,4,4,0
128,65.98,-318.8759583198359,65.98,-318.8759583198359,0,0,1,1,1,1,0
129,517.6,132.74404168016412,517.6,132.74404168016412,1,1,10,8,10,8,0
130,895.0,510.1440416801641,1643.06,878.785704898215,2,1,7,4,6,3,0
131,1580.0,-729.1357499190157,1580.0,-729.1357499190157,1,0,4,3,3,1,0
132,1162.0,777.144041680164,1162.0,777.144041680164,0,0,5,5,6,2,0
133,103.36,-281.4959583198359,103.36,-281.4959583198359,1,1,4,4,2,3,0
134,282.74,-481.5342951017849,35.94,-348.9159583198359,0,0,2,1,2,2,0
135,74.25,-310.6059583198359,74.25,-310.6059583198359,1,0,5,3,6,3,0
136,560.0,175.14404168016412,560.0,175.14404168016412,1,0,8,4,8,6,0
137,741.75,356.8940416801641,741.75,356.8940416801641,0,0,1,1,1,1,0
138,405.0,20.144041680164094,710.0,-444.56787495950766,3,2,11,7,9,6,0
139,130.92,-253.9359583198359,130.92,-253.9359583198359,0,0,6,2,4,3,0
140,75.83,-693.8819166396718,75.83,-693.8819166396718,0,0,1,1,1,1,0
141,18.4,-366.455958319836,81.19999999999997,-688.5119166396719,1,1,5,4,4,2,0
142,163.16,-221.69595831983588,163.16,-221.69595831983588,1,1,5,5,5,5,0
143,418.67,-351.0419166396718,199.0,-185.85595831983588,0,0,2,2,2,2,0
144,650.0,265.1440416801641,650.0,265.1440416801641,0,0,5,5,5,5,0
145,68.0,-316.8559583198359,1362.0,-562.2797915991796,9,3,34,17,30,14,0
146,575.0,-194.7119166396718,370.0,-14.855958319835903,12,4,21,10,22,15,0
147,17.91,-366.9459583198359,93.56,-676.1519166396718,7,1,37,18,33,14,0
148,645.5,260.6440416801641,645.5,260.6440416801641,0,0,1,1,1,1,0
149,9.98,-374.8759583198359,9.98,-374.8759583198359,0,0,1,1,1,1,0
150,200.0,-184.85595831983588,200.0,-184.85595831983588,1,1,5,3,5,5,0
151,271.15,-113.70595831983593,307.09,-462.6219166396718,0,0,3,2,3,3,0
152,240.0,-144.8559583198359,240.0,-144.8559583198359,4,3,6,5,4,2,0
153,104.75,-280.1059583198359,479.6,-290.11191663967185,0,0,20,16,18,12,0
154,316.76,-832.370253421621,34.02,-350.83595831983587,2,0,6,2,5,3,0
155,17.96,-366.89595831983587,17.96,-366.89595831983587,5,3,11,5,9,6,0
156,550.26,-219.45191663967185,548.8,163.94404168016402,0,0,1,1,1,1,0
157,44.12,-340.7359583198359,44.12,-340.7359583198359,0,0,2,2,2,1,0
158,34.25,-350.6059583198359,34.25,-350.6059583198359,0,0,5,2,4,3,0
159,1050.66,280.94808336032816,403.66,18.80404168016412,0,0,7,6,8,4,0
160,79.16,-305.6959583198359,79.16,-305.6959583198359,1,1,1,1,1,1,0
161,2290.0,1905.1440416801638,2290.0,1905.1440416801638,0,0,5,3,4,5,0
162,558.75,173.89404168016412,558.75,173.89404168016412,2,2,7,5,7,4,0
163,1607.54,452.9721250404922,1607.54,452.9721250404922,0,0,14,7,14,11,0
164,819.25,434.3940416801641,2181.25,-127.88574991901551,9,3,35,18,31,14,0
165,1175.85,790.9940416801641,1175.85,790.9940416801641,1,1,9,6,8,8,0
166,27.36,-357.4959583198359,27.36,-357.4959583198359,0,0,0,0,0,1,0
167,267.43,-502.2819166396718,267.43,-502.2819166396718,0,0,8,5,7,8,0
168,97.75,-287.1059583198359,97.75,-287.1059583198359,7,2,25,10,24,14,0
169,45.0,-339.8559583198359,45.0,-339.8559583198359,4,4,12,10,11,6,0
170,667.0,282.1440416801641,711.99,-52.284295101784885,0,0,9,8,10,7,0
171,3231.0,2461.288083360328,3491.4300000000007,2342.2997465783787,0,0,8,4,7,6,0
172,26.94,-742.771916639672,26.94,-742.771916639672,5,3,11,5,9,6,0
173,439.0,54.1440416801641,439.0,54.1440416801641,0,0,5,5,5,4,0
174,2595.78,1831.5057048982155,2466.0,2081.1440416801643,0,0,1,1,1,1,0
175,68.0,-316.8559583198359,2249.25,-444.7417082388514,9,3,35,18,31,14,0
176,5.29,-379.5659583198359,87.25000000000001,-1067.3178749595077,2,1,4,4,4,2,0
177,142.0,-242.85595831983588,449.09,-705.4778749595077,1,1,4,3,4,4,0
178,454.53,-700.0378749595078,454.53,-700.0378749595078,1,1,2,2,2,2,0
179,395.0,10.144041680164094,977.42,207.70808336032815,1,1,13,6,13,9,0
180,343.0,-41.855958319835906,343.0,-41.855958319835906,0,0,3,2,3,2,0
181,2236.0,1851.1440416801638,2236.0,1851.1440416801638,2,1,4,2,4,3,0
182,258.0,-126.8559583198359,258.0,-126.8559583198359,4,3,14,8,14,12,0
183,167.87,-601.8419166396718,49.79,-335.0659583198359,1,0,3,2,3,3,0
184,482.77,-286.94191663967183,482.77,-286.94191663967183,1,1,7,5,7,6,0
185,387.04,2.184041680164114,387.04,2.184041680164114,0,0,2,2,2,2,0
186,40.01,-344.8459583198359,40.01,-344.8459583198359,2,0,4,2,4,3,0
187,13.0,-371.8559583198359,13.0,-371.8559583198359,1,1,2,2,2,2,0
188,243.62,-141.2359583198359,243.62,-141.2359583198359,2,2,6,6,5,5,0
189,2325.3,1940.444041680164,2325.3,1940.444041680164,6,3,15,10,14,9,0
190,223.54,-931.0278749595076,181.05,-973.5178749595076,4,2,19,9,18,10,0
191,1491.0,1070.8849138076316,1530.36,725.3889554877957,1,1,12,7,14,11,0
192,47.2,-757.7710445122043,20.0,-400.1150861923684,0,0,2,1,2,2,0
193,131.5,-288.6150861923684,131.5,-288.6150861923684,0,0,1,1,1,1,0
194,398.0,-22.115086192368377,398.0,-22.115086192368377,2,1,4,2,4,3,0
195,151.46,-268.6550861923684,151.46,-268.6550861923684,0,0,6,4,7,6,0
196,1110.0,689.8849138076317,1110.0,689.8849138076317,0,0,3,3,4,4,0
197,844.2,424.08491380763166,844.2,424.08491380763166,0,0,7,6,7,7,0
198,409.97,-10.145086192368352,409.97,-10.145086192368352,2,2,2,2,2,2,0
199,720.0,299.8849138076316,720.0,299.8849138076316,3,2,4,3,4,3,0
200,168.0,-252.11508619236838,168.0,-252.11508619236838,0,0,7,5,7,5,0
201,33.98,-386.1350861923684,33.98,-386.1350861923684,0,0,3,3,4,3,0
202,72.0,-348.1150861923684,72.0,-348.1150861923684,1,1,7,6,6,7,0
203,14.65,-405.4650861923684,14.65,-405.4650861923684,1,1,4,4,4,2,0
204,793.48,-396.3470028320402,291.1,-513.8710445122043,2,0,9,6,8,5,0
205,451.68,31.564913807631626,451.68,31.564913807631626,0,0,1,1,1,1,0
206,620.73,200.6149138076316,620.73,200.6149138076316,3,1,8,4,7,3,0
207,219.0,-201.11508619236838,233.94,-571.0310445122043,6,5,13,9,13,7,0
208,389.25,-415.7210445122043,3591.0,2401.1729971679597,0,0,8,4,7,6,0
209,295.0,-125.11508619236838,295.0,-125.11508619236838,0,0,2,2,3,2,0
210,415.0,-5.115086192368381,2090.0,1282.5597055574651,2,1,21,18,19,10,0
211,516.95,96.83491380763166,516.95,96.83491380763166,1,1,6,5,6,5,0
212,11.06,-1178.76700283204,3.2,-416.9150861923684,0,0,3,3,1,3,0
213,3.2,-416.9150861923684,6.4,-833.8301723847368,0,0,4,4,2,4,0
214,257.02,-163.0950861923684,257.02,-163.0950861923684,0,0,6,5,6,5,0
215,1935.56,1515.4449138076316,1950.56,1145.5889554877956,1,0,5,4,4,4,0
216,636.73,216.6149138076316,636.73,216.6149138076316,2,0,9,7,8,8,0
217,76.0,-344.1150861923684,76.0,-344.1150861923684,0,0,3,2,4,3,0
218,2199.0,1778.8849138076316,2199.0,1778.8849138076316,0,0,0,0,0,0,0
219,810.0,389.8849138076316,3135.3,2330.328955487796,6,3,16,10,15,9,0
220,886.02,45.78982761526325,249.29,-170.82508619236842,0,0,4,1,4,4,0
221,48.0,-372.1150861923684,48.0,-372.1150861923684,0,0,16,11,17,10,0
222,269.0,-151.11508619236838,269.0,-151.11508619236838,0,0,1,1,1,1,0
223,129.9,-290.2150861923684,129.9,-290.2150861923684,2,0,5,3,5,5,0
224,491.76,-698.0670028320402,421.8,1.6849138076316308,1,1,8,6,8,7,0
225,380.96,-39.1550861923684,2470.96,1243.404619365097,2,1,21,18,19,10,0
226,2.78,-417.3350861923684,78.65,-726.3210445122043,9,4,15,10,8,3,0
227,1495.0,1074.8849138076316,1495.0,1074.8849138076316,2,2,7,6,7,3,0
228,580.0,159.88491380763162,967.04,162.0689554877957,0,0,3,3,3,3,0
229,191.78,-228.33508619236838,191.78,-228.33508619236838,2,2,5,5,4,3,0
230,960.0,539.8849138076316,960.0,539.8849138076316,0,0,2,1,2,2,0
231,542.0,121.88491380763162,1331.3200000000004,136.55449730729902,0,0,1,1,1,1,0
232,488.44,-316.53104451220435,464.44,44.32491380763162,6,3,28,19,25,12,0
233,1542.37,1122.2549138076317,1542.37,1122.2549138076317,1,0,10,6,9,9,0
234,2205.0,1784.8849138076316,2205.0,1784.8849138076316,1,0,8,4,6,7,0
235,542.62,-262.35104451220434,540.95,-648.8770028320403,3,2,13,10,13,7,0
236,1.75,-418.3650861923684,1.75,-418.3650861923684,0,0,1,1,1,1,0
237,708.0,287.8849138076316,742.25,-62.72104451220429,0,0,6,3,5,3,0
238,260.0,-160.11508619236838,260.0,-160.11508619236838,1,1,2,1,2,2,0
239,21.99,-398.12508619236837,539.59,-265.38104451220426,1,1,10,7,10,8,0
240,1042.56,622.4449138076316,1042.56,622.4449138076316,1,1,5,4,4,3,0
241,70.0,-350.1150861923684,103.84,-703.6002944425348,2,0,19,12,17,13,0
242,214.0,-206.11508619236838,214.0,-206.11508619236838,0,0,2,2,2,2,0
243,2327.43,1907.3149138076315,3055.79,2250.8189554877954,5,0,16,6,15,5,0
244,189.0,-231.11508619236838,189.0,-231.11508619236838,3,2,10,8,10,7,0
245,183.55,-236.5650861923684,183.55,-236.5650861923684,0,0,1,1,1,1,0
246,785.45,365.33491380763166,785.45,365.33491380763166,0,0,3,2,3,2,0
247,1016.47,596.3549138076316,2546.83,1321.7438692954277,1,1,12,7,14,11,0
248,7.7,-412.4150861923684,7.7,-412.4150861923684,2,2,4,3,4,3,0
249,932.96,512.8449138076317,932.96,512.8449138076317,0,0,0,0,1,1,0
250,60.40000000000001,-1164.6861307045724,13.2,-406.9150861923684,0,0,1,1,1,2,0
251,1103.6,683.4849138076315,1103.6,683.4849138076315,0,0,1,1,1,1,0
252,561.09,-279.14017238473673,409.63,-10.485086192368383,3,1,11,2,10,10,0
253,1090.47,285.4989554877957,916.1,111.12895548779574,1,1,6,4,6,6,0
254,1125.29,-135.05525857710512,876.0,35.769827615263274,2,0,9,7,8,8,0
255,69.2,-350.9150861923684,164.7,-640.2710445122043,2,2,5,5,5,4,0
256,211.0,-209.11508619236838,211.0,-209.11508619236838,2,1,5,3,5,5,0
257,107.0,-313.1150861923684,107.0,-313.1150861923684,2,2,3,2,3,3,0
258,364.47,-55.64508619236835,1407.03,566.7998276152632,1,1,5,4,5,3,0
259,162.3,-257.81508619236837,162.3,-257.81508619236837,0,0,1,1,1,1,0
260,45.57,-759.4010445122043,11.96,-1248.3852585771049,0,0,5,5,3,5,0
261,332.12,-87.99508619236838,332.12,-87.99508619236838,0,0,4,2,4,3,0
262,1171.25,751.1349138076317,1171.25,751.1349138076317,0,0,6,5,6,6,0
263,166.08,-674.1501723847368,575.77,-649.3161307045726,1,1,11,8,11,8,0
264,201.75,-218.36508619236838,201.75,-218.36508619236838,0,0,1,1,1,1,0
265,64.0,-356.1150861923684,64.0,-356.1150861923684,2,1,6,3,6,4,0
266,895.0,474.8849138076316,895.0,474.8849138076316,1,0,7,5,7,6,0
267,104.03,-316.0850861923684,104.03,-316.0850861923684,3,1,13,7,13,10,0
268,2181.4,1761.2849138076315,2181.4,1761.2849138076315,2,2,2,2,2,1,0
269,149.0,-271.1150861923684,149.0,-271.1150861923684,0,0,3,2,3,3,0
270,53.9,-366.2150861923684,53.9,-366.2150861923684,3,2,11,5,9,6,0
271,38.35,-381.7650861923684,38.35,-381.7650861923684,2,0,7,2,7,3,0
272,398.4,-21.715086192368407,398.4,-21.715086192368407,1,1,2,2,2,2,0
273,390.0,-30.115086192368377,950.0,145.02895548779568,2,1,9,4,9,7,0
274,2347.0,1926.884913807632,4596.25,1482.14320556878,9,3,36,19,32,14,0
275,559.48,139.36491380763164,1966.51,706.1647414228947,1,1,5,4,5,3,0
276,378.0,-462.23017238473676,378.0,-462.23017238473676,3,2,10,8,10,7,0
277,585.32,165.20491380763167,666.52,-523.3070028320402,1,1,5,4,5,3,0
278,263.59000000000003,-996.7552585771052,97.51,-322.6050861923684,0,0,5,4,5,5,0
279,296.0,-544.2301723847368,296.0,-544.2301723847368,0,0,1,1,1,1,0
280,217.1,-203.0150861923684,295.75,-929.3361307045726,9,4,15,10,8,3,0
281,230.43,-189.6850861923684,230.43,-189.6850861923684,0,0,2,2,2,2,0
282,34.4,-385.7150861923684,34.4,-385.7150861923684,0,0,1,1,1,1,0
283,203.57,-601.4010445122043,338.0800000000001,-466.8910445122043,0,0,2,2,2,2,0
284,148.95,-271.1650861923684,148.95,-271.1650861923684,0,0,1,1,1,1,0
285,567.0,-693.3452585771051,567.0,-693.3452585771051,3,2,10,8,10,7,0
286,818.5600000000002,-791.3820890244085,343.4899999999999,-848.8062527623706,1,0,7,4,6,5,0
287,49.95,-370.1650861923684,188.9,-616.0710445122043,2,2,4,3,3,2,0
288,140.0,-280.1150861923684,140.0,-280.1150861923684,0,0,3,2,2,3,0
289,756.0,-924.4603447694735,756.0,-924.4603447694735,3,2,10,8,10,7,0
290,38.97,-381.1450861923684,493.5,-1081.182961151876,2,2,3,3,3,3,0
291,1189.96,769.8449138076317,2139.96,914.8738692954272,2,1,10,5,10,7,0
292,69.53,-350.5850861923684,69.53,-350.5850861923684,0,0,4,4,4,4,0
293,210.0,-210.11508619236838,210.0,-210.11508619236838,1,1,3,3,3,2,0
294,322.02,-98.09508619236841,419.77,-385.2010445122043,7,1,26,9,25,14,0
295,16.5,-403.6150861923684,16.5,-403.6150861923684,0,0,3,2,3,3,0
296,73.0,-347.1150861923684,73.0,-347.1150861923684,2,1,5,3,5,5,0
297,108.18,-311.9350861923684,108.18,-311.9350861923684,0,0,7,3,7,6,0
298,66.6,-353.5150861923684,66.6,-353.5150861923684,1,1,2,2,2,1,0
299,691.62,-533.4661307045726,1126.42,-63.40700283204024,1,1,14,7,14,10,0
300,261.04,-579.1901723847368,213.04,-207.0750861923684,0,0,8,5,8,6,0
301,10.0,-410.1150861923684,10.0,-410.1150861923684,1,1,3,1,3,3,0
302,998.52,-1031.5371752167766,1021.91,-167.9170028320401,1,0,21,18,18,10,0
303,20.05,-400.06508619236837,20.05,-400.06508619236837,0,0,1,1,1,1,0
304,71.0,-349.1150861923684,71.0,-349.1150861923684,3,1,5,1,4,2,0
305,36.4,-383.7150861923684,36.4,-383.7150861923684,0,0,6,4,6,6,0
306,605.6600000000002,-654.6852585771051,44.57,-375.5450861923684,3,2,10,6,10,7,0
307,2285.0,1444.7698276152635,2285.0,1444.7698276152635,1,0,8,4,6,7,0
308,189.0,-231.11508619236838,260.0,-580.2301723847368,3,1,6,2,5,2,0
309,160.4,-259.7150861923684,160.4,-259.7150861923684,0,0,1,1,1,1,0
310,281.0,-523.9710445122042,590.6,-599.2270028320403,0,0,21,17,18,12,0
311,16.1,-404.0150861923684,3071.89,1846.803869295427,6,1,17,7,16,6,0
312,5.49,-414.62508619236837,5.49,-414.62508619236837,1,0,12,5,8,6,0
313,548.71,-1061.2320890244087,56.95,-363.1650861923684,2,1,9,4,8,6,0
314,140.81,-279.3050861923684,140.81,-279.3050861923684,0,0,3,3,4,2,0
315,542.0,121.88491380763162,1873.32,258.43941111493064,0,0,1,1,1,1,0
316,15.76,-404.3550861923684,15.76,-404.3550861923684,1,1,2,1,2,1,0
317,925.0,-1175.5754309618421,169.0,-251.11508619236838,0,0,2,1,2,2,0
318,312.83,-107.28508619236841,1020.38,-169.4470028320402,0,0,11,7,8,5,0
319,151.03,-269.0850861923684,151.03,-269.0850861923684,1,1,5,4,6,2,0
320,977.68,172.70895548779563,304.28,-115.83508619236841,0,0,1,1,1,1,0
321,763.0,-41.97104451220429,505.0,84.88491380763162,0,0,1,1,1,1,0
322,1780.29,940.0598276152632,237.92,-182.1950861923684,0,0,4,3,5,5,0
323,208.0,-212.11508619236838,389.05,-1185.632961151876,4,2,20,10,19,11,0
324,1997.0,1192.0289554877957,1997.0,1192.0289554877957,0,0,5,5,5,4,0
325,150.0,-270.1150861923684,150.0,-270.1150861923684,1,1,3,1,3,3,0
326,386.0,-454.23017238473676,237.0,-183.11508619236838,0,0,3,2,4,4,0
