,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,merchantnum_amount_sum_3,cardnum_amount_month_diff_sum_3,cardnum_amount_sum_7,cardnum_amount_week_diff_max_3,merchantnum_amount_week_diff_sum_3,merchantnum_amount_month_diff_sum_3,cardnum_amount_week_diff_sum_1,merchantnum_amount_max_3,cardnum_amount_month_diff_max_3,cardnum_amount_max_3,merchantnum_amount_week_diff_max_3,merchantnum_amount_month_diff_max_3,merchantnum_amount_month_diff_sum_7,cardnum_merchantnum_30,cardnum_amount_week_diff_max_1,merchantnum_amount_sum_7,merchantnum_amount_week_diff_max_1,cardnum_amount_month_diff_sum_7,Fraud
13,151.51,-233.3459583198359,151.51,-279.7761866575669,151.51,-233.3459583198359,-233.3459583198359,-279.7761866575669,-233.3459583198359,151.51,-279.7761866575669,151.51,-233.3459583198359,-279.7761866575669,-279.7761866575669,2,-233.3459583198359,151.51,-233.3459583198359,-279.7761866575669,0
14,85.0,-299.8559583198359,85.0,-346.28618665756693,85.0,-299.8559583198359,-299.8559583198359,-346.28618665756693,-299.8559583198359,85.0,-346.28618665756693,85.0,-299.8559583198359,-346.28618665756693,-346.28618665756693,5,-299.8559583198359,85.0,-299.8559583198359,-346.28618665756693,0
15,10.3,-374.5559583198359,10.3,-420.9861866575669,1014.44,-374.5559583198359,-374.5559583198359,-420.9861866575669,-374.5559583198359,10.3,-420.9861866575669,10.3,-374.5559583198359,-420.9861866575669,-2219.4822285713667,10,-374.5559583198359,2048.01,-374.5559583198359,-3732.577983810591,0
16,2114.43,1729.5740416801639,2114.43,1683.1438133424328,2114.43,1729.5740416801639,1729.5740416801639,1683.1438133424328,1729.5740416801639,2114.43,1683.1438133424328,2114.43,1729.5740416801639,1683.1438133424328,1683.1438133424328,9,1729.5740416801639,2114.43,1729.5740416801639,1683.1438133424328,0
17,75.65,-309.2059583198359,75.65,-355.6361866575669,8375.580000000002,-309.2059583198359,-309.2059583198359,-355.6361866575669,-309.2059583198359,75.65,-355.6361866575669,75.65,-309.2059583198359,-355.6361866575669,-355.6361866575669,36,-309.2059583198359,75.65,-309.2059583198359,-2125.74704668129,0
18,139.09,-245.7659583198359,139.09,-292.19618665756695,280.59000000000003,-245.7659583198359,-245.7659583198359,-292.19618665756695,-245.7659583198359,139.09,-292.19618665756695,139.09,-245.7659583198359,-292.19618665756695,-292.19618665756695,8,-245.7659583198359,139.09,-245.7659583198359,-630.2219418967918,0
19,91.28,-293.5759583198359,91.28,-340.00618665756684,91.28,-293.5759583198359,-293.5759583198359,-340.00618665756684,-293.5759583198359,91.28,-340.00618665756684,91.28,-293.5759583198359,-340.00618665756684,-795.0419418967917,2,-293.5759583198359,115.77,-293.5759583198359,-340.00618665756684,0
20,57.85,-327.0059583198359,57.85,-373.4361866575669,302.85,-327.0059583198359,-327.0059583198359,-373.4361866575669,-327.0059583198359,57.85,-373.4361866575669,57.85,-327.0059583198359,-373.4361866575669,-373.4361866575669,1,-327.0059583198359,57.85,-327.0059583198359,-607.9619418967918,0
21,374.85,-10.005958319835884,374.85,-56.43618665756691,6030.96,-10.005958319835884,-10.005958319835884,-56.43618665756691,-10.005958319835884,374.85,-56.43618665756691,374.85,-10.005958319835884,-56.43618665756691,-56.43618665756691,19,-10.005958319835884,374.85,-10.005958319835884,-154.63524952826583,0
22,14.94,-369.9159583198359,14.94,-416.34618665756693,1492.5,-369.9159583198359,-369.9159583198359,-416.34618665756693,-369.9159583198359,14.94,-416.34618665756693,14.94,-369.9159583198359,-416.34618665756693,-416.34618665756693,12,-369.9159583198359,14.94,-369.9159583198359,-1815.9407180929165,0
23,33.84,-351.015958319836,33.84,-397.4461866575669,56.63,-351.015958319836,-351.015958319836,-397.4461866575669,-351.015958319836,33.84,-397.4461866575669,33.84,-351.015958319836,-397.4461866575669,-854.1819418967917,3,-351.015958319836,56.63,-351.015958319836,-854.1819418967917,0
24,1.46,-383.39595831983587,1.46,-429.8261866575669,304.24999999999994,-383.39595831983587,-383.39595831983587,-429.8261866575669,-383.39595831983587,1.46,-429.8261866575669,1.46,-383.39595831983587,-429.8261866575669,-4373.577983810591,9,-383.39595831983587,373.44,-383.39595831983587,-3963.2422285713674,0
25,62.8,-322.0559583198359,62.8,-368.4861866575669,383.64,-322.0559583198359,-322.0559583198359,-368.4861866575669,-322.0559583198359,62.8,-368.4861866575669,62.8,-322.0559583198359,-368.4861866575669,-368.4861866575669,4,-322.0559583198359,62.8,-322.0559583198359,-1006.6976971360167,0
26,25.77,-359.08595831983587,25.77,-405.5161866575669,35.93,-359.08595831983587,-359.08595831983587,-405.5161866575669,-359.08595831983587,25.77,-405.5161866575669,25.77,-359.08595831983587,-405.5161866575669,-405.5161866575669,2,-359.08595831983587,25.77,-359.08595831983587,-874.8819418967919,0
27,1000.0,615.144041680164,1000.0,568.713813342433,1205.0,615.144041680164,615.144041680164,568.713813342433,615.144041680164,1000.0,568.713813342433,1000.0,615.144041680164,568.713813342433,568.713813342433,14,615.144041680164,1000.0,615.144041680164,294.1880581032081,0
28,138.95,-245.9059583198359,138.95,-292.33618665756694,278.95,-245.9059583198359,-245.9059583198359,-292.33618665756694,-245.9059583198359,138.95,-292.33618665756694,138.95,-245.9059583198359,-292.33618665756694,-652.0119418967919,3,-245.9059583198359,258.79999999999995,-245.9059583198359,-631.8619418967918,0
29,7.86,-761.8519166396718,7.86,-854.7123733151338,310.64999999999986,-378.455958319836,-761.8519166396718,-854.7123733151338,-761.8519166396718,6.4,-424.8861866575669,6.4,-378.455958319836,-424.8861866575669,-4798.464170468158,9,-378.455958319836,379.84,-378.455958319836,-4388.128415228934,0
30,68.0,-316.8559583198359,68.0,-363.28618665756693,22219.88,-316.8559583198359,-316.8559583198359,-363.28618665756693,-316.8559583198359,68.0,-363.28618665756693,68.0,-316.8559583198359,-363.28618665756693,-363.28618665756693,33,-316.8559583198359,68.0,-316.8559583198359,16513.810505710957,0
31,636.0,251.14404168016412,636.0,204.7138133424331,2652.08,251.14404168016412,251.14404168016412,204.7138133424331,251.14404168016412,636.0,204.7138133424331,636.0,251.14404168016412,204.7138133424331,204.7138133424331,8,251.14404168016412,636.0,251.14404168016412,1261.742302863983,0
32,793.6500000000002,29.375704898215126,420.55,-117.1619418967918,2379.100000000001,35.694041680164105,35.694041680164105,-10.736186657566918,35.694041680164105,420.55,-10.736186657566918,420.55,35.694041680164105,-10.736186657566918,-59.98769713601678,10,35.694041680164105,1330.35,35.694041680164105,29.710792385533523,0
33,480.0,-289.7119166396718,480.0,-382.5723733151338,3075.0,-84.8559583198359,-289.7119166396718,-382.5723733151338,-289.7119166396718,300.0,-131.28618665756693,300.0,-84.8559583198359,-131.28618665756693,-382.5723733151338,4,-84.8559583198359,480.0,-84.8559583198359,1253.376116206416,0
34,318.41,-453.7711665700022,318.41,-592.4019418967919,1679.46,-103.82520825016633,-453.7711665700022,-592.4019418967919,-349.9459583198359,283.5,-196.02575523922488,283.5,-103.82520825016633,-196.02575523922488,-842.7476971360167,7,-349.9459583198359,547.59,-349.9459583198359,-1628.9807180929165,0
35,80.0,-304.8559583198359,80.0,-351.28618665756693,762.0,-304.8559583198359,-304.8559583198359,-351.28618665756693,-304.8559583198359,80.0,-351.28618665756693,80.0,-304.8559583198359,-351.28618665756693,-351.28618665756693,5,-304.8559583198359,80.0,-304.8559583198359,-628.3376971360168,0
36,179.99,-204.8659583198359,179.99,-251.29618665756686,340.81,-204.8659583198359,-204.8659583198359,-251.29618665756686,-204.8659583198359,179.99,-251.29618665756686,179.99,-204.8659583198359,-251.29618665756686,-251.29618665756686,6,-204.8659583198359,179.99,-204.8659583198359,-570.0019418967918,0
37,176.12,-208.7359583198359,176.12,-255.1661866575669,176.12,-208.7359583198359,-208.7359583198359,-255.1661866575669,-208.7359583198359,176.12,-255.1661866575669,176.12,-208.7359583198359,-255.1661866575669,-255.1661866575669,3,-208.7359583198359,176.12,-208.7359583198359,-255.1661866575669,0
38,84.51,-300.3459583198359,84.51,-346.7761866575669,1259.66,-300.3459583198359,-300.3459583198359,-346.7761866575669,-300.3459583198359,84.51,-346.7761866575669,84.51,-300.3459583198359,-346.7761866575669,-346.7761866575669,9,-300.3459583198359,84.51,-300.3459583198359,-1089.7292076144663,0
39,288.4600000000001,-481.2519166396718,108.47,-574.1123733151339,449.28,-204.8659583198359,-276.385958319836,-322.81618665756696,-481.2519166396718,108.47,-251.29618665756686,179.99,-276.385958319836,-322.81618665756696,-322.81618665756696,7,-204.8659583198359,108.47,-276.385958319836,-892.8181285543589,0
40,27.31,-357.5459583198359,27.31,-403.9761866575669,27.31,-357.5459583198359,-357.5459583198359,-403.9761866575669,-357.5459583198359,27.31,-403.9761866575669,27.31,-357.5459583198359,-403.9761866575669,-403.9761866575669,1,-357.5459583198359,27.31,-357.5459583198359,-403.9761866575669,0
41,76.95,-307.9059583198359,76.95,-354.3361866575669,704.7800000000002,-307.9059583198359,-307.9059583198359,-354.3361866575669,-307.9059583198359,76.95,-354.3361866575669,76.95,-307.9059583198359,-354.3361866575669,-354.3361866575669,10,-307.9059583198359,76.95,-307.9059583198359,-206.0319418967918,0
42,1168.47,398.75808336032816,1168.47,305.89762668486605,1373.47,615.144041680164,398.75808336032816,305.89762668486605,398.75808336032816,1000.0,568.713813342433,1000.0,615.144041680164,568.713813342433,305.89762668486605,14,615.144041680164,1168.47,615.144041680164,31.37187144564115,0
43,1080.65,-68.48025342162077,340.0,-261.44812855435873,2666.100000000001,35.694041680164105,-429.71191663967176,-522.5723733151339,-62.161916639671794,287.0,-10.736186657566918,420.55,-97.8559583198359,-144.2861866575669,-522.5723733151339,11,35.694041680164105,340.0,-97.8559583198359,-114.5753942720334,0
44,730.0,-424.56787495950766,730.0,-563.8585599727007,3325.0,-84.8559583198359,-424.56787495950766,-563.8585599727007,-424.56787495950766,300.0,-131.28618665756693,300.0,-84.8559583198359,-131.28618665756693,-563.8585599727007,4,-84.8559583198359,730.0,-84.8559583198359,1072.089929548849,0
45,6.87,-377.9859583198359,6.87,-424.4161866575669,38.75,-377.9859583198359,-377.9859583198359,-424.4161866575669,-377.9859583198359,6.87,-424.4161866575669,6.87,-377.9859583198359,-424.4161866575669,-424.4161866575669,4,-377.9859583198359,6.87,-377.9859583198359,-1351.5876971360167,0
46,138.85,-630.8619166396718,425.85,-723.7223733151338,388.73,-299.00595831983594,-728.7178749595078,-868.0085599727008,-630.8619166396718,287.0,-345.4361866575669,85.85,-97.8559583198359,-144.2861866575669,-868.0085599727008,8,-299.00595831983594,425.85,-97.8559583198359,-1432.8938837935839,0
47,113.96,-270.89595831983587,113.96,-317.32618665756695,737.4300000000002,-270.89595831983587,-270.89595831983587,-317.32618665756695,-270.89595831983587,113.96,-317.32618665756695,113.96,-270.89595831983587,-317.32618665756695,-2001.499207614467,5,-270.89595831983587,347.89,-270.89595831983587,-652.9076971360167,0
48,32.95,-351.9059583198359,32.95,-398.3361866575669,50.91,-351.9059583198359,-351.9059583198359,-398.3361866575669,-351.9059583198359,32.95,-398.3361866575669,32.95,-351.9059583198359,-398.3361866575669,-398.3361866575669,2,-351.9059583198359,32.95,-351.9059583198359,-859.9019418967919,0
49,219.67,-165.18595831983592,219.67,-211.6161866575669,568.42,-165.18595831983592,-165.18595831983592,-211.6161866575669,-165.18595831983592,219.67,-211.6161866575669,219.67,-165.18595831983592,-211.6161866575669,-211.6161866575669,6,-165.18595831983592,219.67,-165.18595831983592,-1780.9692076144668,0
50,36.95,-347.9059583198359,36.95,-394.3361866575669,2608.7699999999995,-347.9059583198359,-347.9059583198359,-394.3361866575669,-347.9059583198359,36.95,-394.3361866575669,36.95,-347.9059583198359,-394.3361866575669,-394.3361866575669,11,-347.9059583198359,36.95,-347.9059583198359,-1179.1964733321415,0
51,242.29,-521.9842951017849,95.34,-668.5219418967919,242.29,-232.468336781949,-289.51595831983593,-335.94618665756695,-289.51595831983593,95.34,-332.5757552392249,146.95,-289.51595831983593,-335.94618665756695,-335.94618665756695,5,-289.51595831983593,95.34,-289.51595831983593,-668.5219418967919,0
52,454.48,69.62404168016411,454.48,23.19381334243309,454.48,69.62404168016411,69.62404168016411,23.19381334243309,69.62404168016411,454.48,23.19381334243309,454.48,69.62404168016411,23.19381334243309,-206.33194189679185,4,69.62404168016411,704.48,69.62404168016411,23.19381334243309,0
53,2357.07,1587.358083360328,1721.07,1494.497626684866,4373.15,1336.214041680164,1336.214041680164,1289.783813342433,1587.358083360328,1721.07,1289.783813342433,1721.07,1336.214041680164,1289.783813342433,1116.338058103208,8,1336.214041680164,2027.15,1336.214041680164,2551.526116206416,0
54,453.6,68.74404168016412,453.6,22.313813342433097,453.6,68.74404168016412,68.74404168016412,22.313813342433097,68.74404168016412,453.6,22.313813342433097,453.6,68.74404168016412,22.313813342433097,-1009.1479838105913,1,68.74404168016412,3737.87,68.74404168016412,22.313813342433097,0
55,1080.0,-459.4238332793436,1080.0,-645.1447466302677,3675.0,-34.855958319835906,-459.4238332793436,-645.1447466302677,-459.4238332793436,350.0,-81.28618665756694,350.0,-34.855958319835906,-81.28618665756694,-645.1447466302677,4,-34.855958319835906,1080.0,-34.855958319835906,990.803742891282,0
56,325.0,-59.85595831983591,325.0,-106.28618665756693,1818.84,-59.85595831983591,-59.85595831983591,-106.28618665756693,-59.85595831983591,325.0,-106.28618665756693,325.0,-59.85595831983591,-106.28618665756693,-106.28618665756693,5,-59.85595831983591,325.0,-59.85595831983591,908.028058103208,0
57,75.87,-308.9859583198359,75.87,-355.4161866575669,300.27,-308.9859583198359,-308.9859583198359,-355.4161866575669,-308.9859583198359,75.87,-355.4161866575669,75.87,-308.9859583198359,-355.4161866575669,-355.4161866575669,14,-308.9859583198359,75.87,-308.9859583198359,-2528.644962853692,0
58,3.0,-381.8559583198359,3.0,-428.28618665756693,3.0,-381.8559583198359,-381.8559583198359,-428.28618665756693,-381.8559583198359,3.0,-428.28618665756693,3.0,-381.8559583198359,-428.28618665756693,-428.28618665756693,1,-381.8559583198359,3.0,-381.8559583198359,-428.28618665756693,0
59,2313.63,1543.9180833603284,2216.46,1451.0576266848661,2313.63,1831.6040416801638,1831.6040416801638,1785.1738133424328,1543.9180833603284,2216.46,1785.1738133424328,2216.46,1831.6040416801638,1785.1738133424328,1785.1738133424328,5,1831.6040416801638,2216.46,1831.6040416801638,1451.0576266848661,0
60,457.0,72.1440416801641,457.0,25.71381334243307,457.0,72.1440416801641,72.1440416801641,25.71381334243307,72.1440416801641,457.0,25.71381334243307,457.0,72.1440416801641,25.71381334243307,1150.3223028639834,2,72.1440416801641,2540.66,72.1440416801641,25.71381334243307,0
61,2440.52,1668.338833429998,2433.0,1529.708058103208,5263.87,2048.1440416801643,2048.1440416801643,2001.7138133424328,2048.1440416801643,2433.0,2001.7138133424328,2433.0,2048.1440416801643,2001.7138133424328,8170.349281907083,13,2048.1440416801643,11478.79,2048.1440416801643,2434.9550371463088,0
62,136.0,-633.7119166396718,68.0,-726.5723733151339,22287.88,-316.8559583198359,-316.8559583198359,-363.28618665756693,-633.7119166396718,68.0,-363.28618665756693,68.0,-316.8559583198359,-363.28618665756693,-542.8119418967918,33,-316.8559583198359,368.0,-316.8559583198359,16150.524319053391,0
63,481.51,-282.76429510178485,27.2,-429.3019418967919,481.51,74.89166321805101,-357.6559583198359,-404.0861866575669,-357.6559583198359,27.2,-25.215755239224904,454.31,-357.6559583198359,-404.0861866575669,-1660.1892076144668,3,-357.6559583198359,689.2,-357.6559583198359,-429.3019418967919,0
64,72.84,-312.01595831983593,72.84,-358.4461866575669,300.4500000000001,-312.01595831983593,-312.01595831983593,-358.4461866575669,-312.01595831983593,72.84,-358.4461866575669,72.84,-312.01595831983593,-358.4461866575669,-1058.1592076144666,12,-312.01595831983593,1291.2299999999998,-312.01595831983593,-1089.8876971360166,0
65,673.4,288.54404168016407,673.4,242.11381334243302,804.22,288.54404168016407,288.54404168016407,242.11381334243302,288.54404168016407,673.4,242.11381334243302,673.4,288.54404168016407,242.11381334243302,-1798.7749628536915,9,288.54404168016407,1030.14,288.54404168016407,-586.1176971360168,0
66,15.0,-369.8559583198359,30.0,-416.28618665756693,15.0,-369.8559583198359,-739.7119166396718,-832.5723733151339,-369.8559583198359,15.0,-416.28618665756693,15.0,-369.8559583198359,-416.28618665756693,-1297.098128554359,1,-369.8559583198359,45.0,-369.8559583198359,-416.28618665756693,0
67,211.25,-558.4619166396718,29.25,-651.3223733151339,3451.6900000000005,-202.85595831983588,-355.6059583198359,-402.03618665756693,-558.4619166396718,29.25,-249.2861866575669,182.0,-355.6059583198359,-402.03618665756693,5077.2062609501845,10,-202.85595831983588,10303.75,-355.6059583198359,-2685.665680946608,0
68,81.96000000000002,-687.7519166396719,81.96000000000002,-780.6123733151338,81.96000000000002,-327.89595831983587,-687.7519166396719,-780.6123733151338,-687.7519166396719,56.96,-374.3261866575669,56.96,-327.89595831983587,-374.3261866575669,-780.6123733151338,4,-327.89595831983587,81.96000000000002,-327.89595831983587,-780.6123733151338,0
69,6.0,-378.8559583198359,6.0,-425.28618665756693,6.0,-378.8559583198359,-378.8559583198359,-425.28618665756693,-378.8559583198359,6.0,-425.28618665756693,6.0,-378.8559583198359,-425.28618665756693,-425.28618665756693,6,-378.8559583198359,6.0,-378.8559583198359,-425.28618665756693,0
70,1028.9,644.0440416801641,1028.9,597.6138133424331,2095.57,644.0440416801641,644.0440416801641,597.6138133424331,644.0440416801641,1028.9,597.6138133424331,1028.9,644.0440416801641,597.6138133424331,597.6138133424331,12,644.0440416801641,1028.9,644.0440416801641,-6487.6540257243905,0
71,728.36,343.5040416801641,728.36,297.07381334243314,3046.9400000000005,343.5040416801641,343.5040416801641,297.07381334243314,343.5040416801641,728.36,297.07381334243314,728.36,343.5040416801641,297.07381334243314,297.07381334243314,15,343.5040416801641,728.36,343.5040416801641,697.5507923855333,0
72,500.0,115.1440416801641,500.0,68.71381334243307,1791.28,115.1440416801641,115.1440416801641,68.71381334243307,115.1440416801641,500.0,68.71381334243307,500.0,115.1440416801641,68.71381334243307,-113.05769713601677,4,115.1440416801641,1277.28,115.1440416801641,-78.58345237524169,0
73,61.55,-323.3059583198359,61.55,-369.7361866575669,3038.9000000000005,-323.3059583198359,-323.3059583198359,-369.7361866575669,-323.3059583198359,61.55,-369.7361866575669,61.55,-323.3059583198359,-369.7361866575669,-772.6219418967919,6,-323.3059583198359,138.19,-323.3059583198359,689.5107923855335,0
74,146.0,-238.85595831983588,146.0,-285.28618665756693,1310.98,-238.85595831983588,-238.85595831983588,-285.28618665756693,-238.85595831983588,146.0,-285.28618665756693,146.0,-238.85595831983588,-285.28618665756693,195.0880581032081,5,-238.85595831983588,1105.9,-238.85595831983588,-79.35769713601678,0
75,19.95,-364.9059583198359,19.95,-411.3361866575669,564.9300000000002,-364.9059583198359,-364.9059583198359,-411.3361866575669,-364.9059583198359,19.95,-411.3361866575669,19.95,-364.9059583198359,-411.3361866575669,-411.3361866575669,14,-364.9059583198359,19.95,-364.9059583198359,-1304.9334523752416,0
76,18.0,-366.8559583198359,18.0,-413.28618665756693,18.0,-366.8559583198359,-366.8559583198359,-413.28618665756693,-366.8559583198359,18.0,-413.28618665756693,18.0,-366.8559583198359,-413.28618665756693,-863.0619418967917,3,-366.8559583198359,47.75,-366.8559583198359,-413.28618665756693,0
77,64.49,-320.3659583198359,64.49,-366.7961866575669,64.49,-320.3659583198359,-320.3659583198359,-366.7961866575669,-320.3659583198359,64.49,-366.7961866575669,64.49,-320.3659583198359,-366.7961866575669,-1141.0549628536914,2,-320.3659583198359,1687.86,-320.3659583198359,-366.7961866575669,0
78,401.85,-752.7178749595078,688.85,-892.0085599727008,651.73,-121.8559583198359,-850.5738332793437,-1036.2947466302678,-752.7178749595078,287.0,-168.2861866575669,263.0,-97.8559583198359,-144.2861866575669,-1036.2947466302678,8,-121.8559583198359,688.85,-97.8559583198359,-1601.1800704511509,0
79,241.95,-527.7619166396719,205.0,-620.6223733151339,2813.7699999999995,-179.85595831983588,-179.85595831983588,-226.2861866575669,-527.7619166396719,205.0,-226.2861866575669,205.0,-179.85595831983588,-226.2861866575669,-2772.017983810591,12,-179.85595831983588,1975.0,-179.85595831983588,-1405.4826599897085,0
80,1276.0,121.43212504049221,1140.0,-17.858559972700842,23427.88,755.144041680164,755.144041680164,708.713813342433,121.43212504049221,1140.0,708.713813342433,1140.0,755.144041680164,708.713813342433,708.713813342433,34,755.144041680164,1140.0,755.144041680164,16859.238132395818,0
81,582.42,197.56404168016402,582.42,151.13381334243303,974.35,197.56404168016402,197.56404168016402,151.13381334243303,197.56404168016402,582.42,151.13381334243303,582.42,197.56404168016402,151.13381334243303,862.7523028639833,12,197.56404168016402,2253.09,197.56404168016402,-415.98769713601683,0
82,125.73,-259.1259583198359,579.33,-305.55618665756685,125.73,-259.1259583198359,-190.38191663967174,-283.2423733151338,-259.1259583198359,453.6,-305.55618665756685,125.73,68.74404168016412,22.313813342433097,-1314.704170468158,1,-259.1259583198359,3863.6,68.74404168016412,-305.55618665756685,0
83,303.02,-466.6919166396718,303.02,-559.5523733151339,303.02,-233.3459583198359,-466.6919166396718,-559.5523733151339,-466.6919166396718,151.51,-279.7761866575669,151.51,-233.3459583198359,-279.7761866575669,-559.5523733151339,2,-233.3459583198359,303.02,-233.3459583198359,-559.5523733151339,0
84,1376.81,233.1173681162661,66.65,-13.52769713601674,3201.7000000000007,294.741663218051,-318.2059583198359,-364.6361866575669,-318.2059583198359,66.65,194.63424476077503,674.16,-318.2059583198359,-364.6361866575669,-364.6361866575669,12,-318.2059583198359,66.65,-318.2059583198359,-1065.7922285713662,0
85,50.84,-334.01595831983593,50.84,-380.4461866575669,50.84,-334.01595831983593,-334.01595831983593,-380.4461866575669,-334.01595831983593,50.84,-380.4461866575669,50.84,-334.01595831983593,-380.4461866575669,-380.4461866575669,1,-334.01595831983593,50.84,-334.01595831983593,-380.4461866575669,0
86,1330.0,-594.2797915991796,1330.0,-826.4309332878348,3925.0,-34.855958319835906,-594.2797915991796,-826.4309332878348,-594.2797915991796,350.0,-81.28618665756694,350.0,-34.855958319835906,-81.28618665756694,-826.4309332878348,4,-34.855958319835906,1330.0,-34.855958319835906,809.517556233715,0
87,38.79,-730.9219166396717,18.84,-823.7823733151338,583.7700000000002,-364.9059583198359,-366.015958319836,-412.4461866575669,-730.9219166396717,18.84,-411.3361866575669,19.95,-366.015958319836,-412.4461866575669,-412.4461866575669,14,-364.9059583198359,18.84,-366.015958319836,-1717.3796390328089,0
88,448.0,63.1440416801641,448.0,16.71381334243307,861.66,63.1440416801641,63.1440416801641,16.71381334243307,63.1440416801641,448.0,16.71381334243307,448.0,63.1440416801641,16.71381334243307,16.71381334243307,15,63.1440416801641,448.0,63.1440416801641,-1487.7292076144665,0
89,328.07,-56.78595831983591,328.07,-103.21618665756692,328.07,-56.78595831983591,-56.78595831983591,-103.21618665756692,-56.78595831983591,328.07,-103.21618665756692,328.07,-56.78595831983591,-103.21618665756692,-103.21618665756692,2,-56.78595831983591,328.07,-56.78595831983591,-103.21618665756692,0
90,790.85,405.9940416801641,790.85,359.5638133424331,4950.96,405.9940416801641,405.9940416801641,359.5638133424331,405.9940416801641,790.85,359.5638133424331,790.85,405.9940416801641,359.5638133424331,700.6180581032083,19,405.9940416801641,1611.43,405.9940416801641,-1234.635249528266,0
