,Recordnum,Amount,Fraud
120,84216,94.97,0
121,84217,195.49,0
122,84218,1696.0,0
123,84219,1.46,0
124,84220,55.0,0
125,84221,15.0,0
126,84222,123.15,0
127,84223,250.0,0
128,84224,65.98,0
129,84225,517.6,0
130,84226,895.0,0
131,84227,250.0,0
132,84228,1162.0,0
133,84229,103.36,0
134,84230,35.94,0
135,84231,74.25,0
136,84232,560.0,0
137,84233,741.75,0
138,84234,405.0,0
139,84235,130.92,0
140,84236,72.83,0
141,84237,18.4,0
142,84238,163.16,0
143,84239,199.0,0
144,84240,650.0,0
145,84241,68.0,0
146,84242,370.0,0
147,84243,17.91,0
148,84244,645.5,0
149,84245,9.98,0
150,84246,200.0,0
151,84247,271.15,0
152,84248,240.0,0
153,84249,104.75,0
154,84250,34.02,0
155,84251,17.96,0
156,84252,548.8,0
157,84253,44.12,0
158,84254,34.25,0
159,84255,403.66,0
160,84256,79.16,0
161,84257,2290.0,0
162,84258,558.75,0
163,84259,439.07,0
164,84260,819.25,0
165,84261,1175.85,0
166,84262,27.36,0
167,84263,54.31,0
168,84264,97.75,0
169,84265,45.0,0
170,84266,667.0,0
171,84267,1553.0,0
172,84268,8.98,0
173,84269,439.0,0
174,84270,2466.0,0
175,84271,68.0,0
176,84272,5.29,0
177,84273,142.0,0
178,84274,151.51,0
179,84275,395.0,0
180,84276,343.0,0
181,84277,2236.0,0
182,84278,258.0,0
183,84279,49.79,0
184,84280,287.28,0
185,84281,387.04,0
186,84282,40.01,0
187,84283,13.0,0
188,84284,243.62,0
189,84285,2325.3,0
190,84286,55.67,0
191,84287,1491.0,0
192,84288,20.0,0
193,84289,131.5,0
194,84290,398.0,0
195,84291,151.46,0
196,84292,1110.0,0
197,84293,844.2,0
198,84294,409.97,0
199,84295,720.0,0
200,84296,168.0,0
201,84297,33.98,0
202,84298,72.0,0
203,84299,14.65,0
204,84300,214.15,0
205,84301,451.68,0
206,84302,620.73,0
207,84303,219.0,0
208,84304,360.0,0
209,84305,295.0,0
210,84306,415.0,0
211,84307,516.95,0
212,84308,3.2,0
213,84309,3.2,0
214,84310,257.02,0
215,84311,1935.56,0
216,84312,636.73,0
217,84313,76.0,0
218,84314,2199.0,0
219,84315,810.0,0
220,84316,249.29,0
221,84317,48.0,0
222,84318,269.0,0
223,84319,129.9,0
224,84320,421.8,0
225,84321,380.96,0
226,84322,2.78,0
227,84323,1495.0,0
228,84324,580.0,0
229,84325,191.78,0
230,84326,960.0,0
231,84327,542.0,0
232,84328,464.44,0
233,84329,1542.37,0
234,84330,2205.0,0
235,84331,299.0,0
236,84332,1.75,0
237,84333,708.0,0
238,84334,260.0,0
239,84335,21.99,0
240,84336,1042.56,0
241,84337,70.0,0
242,84338,214.0,0
243,84339,2327.43,0
244,84340,189.0,0
245,84341,183.55,0
246,84342,785.45,0
247,84343,1016.47,0
248,84344,7.7,0
249,84345,932.96,0
250,84346,13.2,0
251,84347,1103.6,0
252,84348,409.63,0
253,84349,508.05,0
254,84350,239.27,0
255,84351,69.2,0
256,84352,211.0,0
257,84353,107.0,0
258,84354,364.47,0
259,84355,162.3,0
260,84356,5.56,0
261,84357,332.12,0
262,84358,1171.25,0
263,84359,36.18,0
264,84360,201.75,0
265,84361,64.0,0
266,84362,895.0,0
267,84363,104.03,0
268,84364,2181.4,0
269,84365,149.0,0
270,84366,53.9,0
271,84367,38.35,0
272,84368,398.4,0
273,84369,390.0,0
274,84370,2347.0,0
275,84371,559.48,0
276,84372,189.0,0
277,84373,585.32,0
278,84374,97.51,0
279,84375,27.0,0
280,84376,217.1,0
281,84377,230.43,0
282,84378,34.4,0
283,84379,139.08,0
284,84380,148.95,0
285,84381,189.0,0
286,84382,25.08,0
287,84383,49.95,0
288,84384,140.0,0
289,84385,189.0,0
290,84386,38.97,0
291,84387,1189.96,0
292,84388,69.53,0
293,84389,210.0,0
294,84390,322.02,0
295,84391,16.5,0
296,84392,73.0,0
297,84393,108.18,0
298,84394,66.6,0
299,84395,149.0,0
300,84396,213.04,0
301,84397,10.0,0
302,84398,179.96,0
303,84399,20.05,0
304,84400,71.0,0
305,84401,36.4,0
306,84402,44.57,0
307,84403,80.0,0
308,84404,189.0,0
309,84405,160.4,0
310,84406,111.0,0
311,84407,16.1,0
312,84408,5.49,0
313,84409,56.95,0
314,84410,140.81,0
315,84411,542.0,0
316,84412,15.76,0
317,84413,169.0,0
318,84414,312.83,0
319,84415,151.03,0
320,84416,304.28,0
321,84417,505.0,0
322,84418,237.92,0
323,84419,208.0,0
324,84420,1558.0,0
325,84421,150.0,0
326,84422,237.0,0
327,84423,1123.0,0
328,84424,154.97,0
329,84425,3029.87,0
330,84426,138.86,0
331,84427,43.28,0
332,84428,2036.7,0
333,84429,200.0,0
334,84430,605.41,0
335,84431,23.61,0
336,84432,136.36,0
337,84433,111.29,0
338,84434,142.38,0
339,84435,209.34,0
340,84436,79.2,0
341,84437,328.14,0
342,84438,194.73,0
343,84439,527.28,0
344,84440,50.75,0
345,84441,55.12,0
346,84442,565.0,0
347,84443,908.5,0
348,84444,326.01,0
349,84445,72.75,0
350,84446,957.85,0
351,84447,515.36,0
352,84448,889.79,0
353,84449,18.61,0
354,84450,53.7,0
355,84451,411.11,0
356,84452,281.27,0
357,84453,149.0,0
358,84454,200.0,0
359,84455,273.5,0
360,84456,199.0,0
361,84457,180.79,0
362,84458,985.0,1
363,84459,18.94,0
364,84460,663.0,0
365,84461,40.66,0
366,84462,1597.67,0
367,84463,67.5,0
368,84464,240.99,0
369,84465,585.0,0
370,84466,680.0,0
371,84467,21.42,0
372,84468,11.3,0
373,84469,85.0,0
374,84470,82.98,0
375,84471,189.0,0
376,84472,273.9,0
377,84473,1050.95,0
378,84474,273.55,0
379,84475,37.13,0
380,84476,56.0,0
381,84477,79.95,0
382,84478,195.0,0
383,84479,50.75,0
384,84480,900.0,0
385,84481,9.5,0
386,84482,83.9,0
387,84483,149.0,0
388,84484,19.95,0
389,84485,183.32,0
390,84486,2199.0,0
391,84487,24.99,0
392,84488,753.84,0
393,84489,78.9,0
394,84490,47.97,0
395,84491,25.75,0
396,84492,64.23,0
397,84493,1035.0,0
398,84494,63.12,0
399,84495,636.82,0
400,84496,150.0,0
401,84497,807.3,0
402,84498,194.95,0
403,84499,138.26,0
404,84500,39.52,0
405,84501,240.0,0
406,84502,1399.98,0
407,84503,535.54,0
408,84504,420.0,0
409,84505,232.2,0
410,84506,673.12,0
411,84507,673.12,0
412,84508,199.0,0
413,84509,86.32,0
414,84510,2295.0,0
415,84511,2139.32,0
416,84512,1125.0,0
417,84513,2040.0,0
418,84514,22.4,0
419,84515,1067.29,0
420,84516,29.4,0
421,84517,99.95,0
422,84518,400.0,0
423,84519,47.25,0
424,84520,234.0,0
425,84521,695.49,0
426,84522,19.91,0
427,84523,800.0,0
428,84524,200.0,0
429,84525,71.64,0
430,84526,436.8,0
431,84527,23.81,0
432,84528,538.0,0
433,84529,69.6,0
434,84530,29.99,0
435,84531,2475.07,0
436,84532,344.92,0
437,84533,2068.49,0
438,84534,554.22,0
439,84536,549.9,0
440,84537,136.0,0
441,84538,548.4,0
442,84539,127.45,0
443,84540,277.85,0
444,84541,113.64,0
445,84542,2017.0,0
446,84543,248.55,0
447,84544,1310.0,0
448,84545,18.6,0
449,84546,86.88,0
450,84547,98.0,0
451,84548,13.99,0
452,84550,1080.0,0
453,84551,1585.0,0
454,84552,14.66,0
455,84553,42.37,0
456,84554,60.0,0
457,84555,50.69,0
458,84556,356.0,0
459,84557,330.32,0
460,84558,360.0,0
461,84559,50.0,0
462,84560,55.0,0
463,84561,15.0,0
464,84562,372.0,0
465,84563,1400.0,0
466,84564,30.0,0
467,84565,779.04,0
468,84566,152.4,0
469,84567,31.24,0
470,84568,104.9,0
471,84569,19.95,0
472,84570,15.62,0
473,84571,1307.11,0
474,84572,103.0,0
475,84573,27.6,0
476,84574,248.75,0
477,84575,50.04,0
478,84576,2017.0,0
479,84577,1250.0,0
480,84578,410.0,0
481,84579,147.0,0
482,84580,264.0,0
483,84581,12.95,0
484,84582,22.0,0
485,84583,4.99,0
486,84584,268.0,0
487,84585,38.0,0
488,84586,140.0,0
489,84587,464.16,0
490,84588,1075.51,0
491,84589,151.6,0
492,84590,14.98,0
493,84591,117.47,0
494,84592,49.99,0
495,84593,30.0,0
496,84594,54.95,0
497,84595,38.2,0
498,84596,30.0,0
499,84597,122.91,0
500,84598,46.61,0
501,84599,279.52,0
502,84600,230.0,0
503,84601,16.0,0
504,84602,430.0,0
505,84603,28.99,0
506,84604,162.95,0
507,84605,442.87,0
508,84606,30.0,0
509,84607,397.3,0
510,84608,175.0,0
511,84609,233.64,0
512,84610,14.7,0
513,84611,83.8,0
514,84612,109.95,0
515,84613,627.75,0
516,84614,13.1,0
517,84615,909.8,0
518,84616,205.88,0
519,84617,35.98,0
520,84618,108.02,0
521,84619,95.21,0
522,84620,1571.0,0
523,84621,60.0,0
524,84622,26.24,0
525,84623,60.0,0
526,84624,350.0,0
527,84625,1193.47,0
528,84626,170.38,0
529,84627,175.38,0
530,84628,425.11,0
531,84629,499.51,0
532,84630,505.0,0
533,84632,92.0,0
534,84633,95.62,0
535,84634,706.5,0
536,84635,16.56,0
537,84636,85.42,0
538,84637,15.11,0
539,84638,264.85,0
540,84639,30.0,0
541,84640,454.0,0
542,84641,171.04,0
543,84642,63.0,0
544,84643,82.7,0
545,84644,75.2,0
546,84645,36.48,0
547,84646,15.3,0
548,84647,106.15,0
549,84648,6.24,0
550,84649,30.0,0
551,84650,79.2,0
552,84651,786.98,0
553,84652,47.0,0
554,84653,50.0,0
555,84654,11.16,0
556,84655,81.56,0
557,84656,163.0,0
558,84657,2386.85,0
559,84658,199.0,0
560,84659,4.92,0
561,84660,21.0,0
562,84661,20.15,0
563,84662,304.65,0
564,84663,243.46,0
565,84664,20.15,0
566,84665,834.25,0
567,84666,460.81,0
568,84667,30.0,0
569,84668,575.0,0
570,84669,297.96,0
571,84670,88.09,0
572,84671,555.2,0
573,84672,241.85,0
574,84673,149.99,0
575,84674,734.88,0
576,84675,2025.0,0
577,84676,1175.85,0
578,84677,250.0,0
579,84678,427.08,0
580,84679,96.54,0
581,84680,129.75,0
582,84681,612.98,0
583,84682,875.0,0
584,84683,20.15,0
585,84684,137.0,0
586,84685,93.0,0
587,84686,20.38,0
588,84687,164.9,0
589,84688,20.15,0
590,84689,2438.0,0
591,84690,30.0,0
592,84691,268.0,0
593,84692,57.0,0
594,84693,258.0,0
595,84694,90.0,0
596,84695,2017.0,0
597,84696,247.38,0
598,84697,2367.17,0
599,84698,284.09,0
600,84699,818.71,0
601,84700,110.26,0
602,84701,30.0,0
603,84702,186.0,0
604,84703,57.53,0
605,84704,160.13,0
606,84705,264.9,0
607,84706,911.0,0
608,84707,290.82,0
609,84708,5.9,0
610,84709,98.99,0
611,84710,1170.0,0
612,84711,35.0,0
613,84712,20.15,0
614,84713,60.0,0
615,84714,270.0,0
616,84715,775.86,0
617,84716,315.0,0
618,84717,115.2,0
619,84718,67.0,0
620,84720,30.0,0
621,84721,277.4,0
622,84722,56.16,0
623,84723,765.9,0
624,84724,300.0,0
625,84725,3.89,0
626,84726,2068.49,0
627,84727,750.0,0
628,84728,11.4,0
629,84729,945.0,0
630,84730,90.35,0
631,84731,355.0,0
632,84732,235.0,0
633,84733,85.0,0
634,84734,116.32,0
635,84735,378.0,0
636,84736,425.25,0
637,84737,209.95,0
638,84738,156.4,0
639,84739,528.01,0
640,84740,20.15,0
641,84741,492.0,0
642,84742,50.04,0
643,84743,129.97,0
644,84744,41.64,0
645,84745,397.53,0
646,84746,60.0,0
647,84747,399.75,0
648,84748,150.0,0
649,84749,30.0,0
650,84750,1005.0,0
651,84751,361.0,0
652,84752,17.68,0
653,84753,2500.0,0
654,84755,2.94,0
655,84756,216.9,0
656,84757,5.0,0
657,84758,97.98,0
658,84759,1840.0,0
659,84760,50.01,0
660,84761,61.0,0
661,84762,66.3,0
662,84763,111.2,0
663,84764,74.88,0
664,84765,1145.0,0
665,84766,185.05,0
666,84767,8.69,0
667,84768,4.28,0
668,84769,135.0,0
669,84770,1088.22,0
670,84771,91.62,0
671,84772,289.99,0
672,84773,156.6,0
673,84774,90.3,0
674,84775,394.0,0
675,84776,181.25,0
676,84777,32.0,0
677,84778,20.15,0
678,84779,113.67,0
679,84780,209.86,0
680,84781,954.3,0
681,84782,1543.86,0
682,84783,84.75,0
683,84784,55.05,0
684,84785,290.0,0
685,84786,18.0,0
686,84787,140.0,0
687,84788,12.38,0
688,84789,2480.0,0
689,84790,56.06,0
690,84791,327.08,0
691,84792,366.7,0
692,84793,186.64,0
693,84794,98.99,0
694,84795,509.0,0
695,84796,51.45,0
696,84797,11.95,0
697,84798,299.52,0
698,84799,1335.0,0
699,84800,60.0,0
700,84801,31.89,0
701,84802,220.83,0
702,84803,90.0,0
703,84804,53.22,0
704,84805,2015.85,0
705,84806,2013.36,0
706,84807,186.9,0
707,84808,1626.74,0
708,84809,369.0,0
709,84810,370.0,0
710,84811,19.95,0
711,84812,18.5,0
712,84813,125.0,0
713,84814,447.8,0
714,84815,524.25,0
715,84816,270.0,0
716,84817,20.15,0
717,84818,1559.95,0
718,84819,1679.0,0
719,84820,61.94,0
720,84821,106.37,0
721,84822,1194.68,0
722,84823,49.99,0
723,84824,1088.22,0
724,84825,10.5,0
725,84826,268.0,0
726,84827,1335.0,0
727,84828,187.48,0
728,84829,78.17,0
729,84830,61.94,0
730,84831,995.0,0
731,84832,20.15,0
732,84833,60.0,0
733,84834,1782.0,0
734,84835,30.0,0
735,84836,758.88,0
736,84837,532.18,0
737,84838,140.0,0
738,84839,675.0,0
739,84840,639.0,0
740,84841,142.73,0
741,84842,60.0,0
742,84843,42.05,0
743,84844,722.86,0
744,84845,2484.98,0
745,84846,30.0,0
746,84848,43.63,0
747,84849,850.0,0
748,84850,874.84,0
749,84851,39.11,0
750,84852,41.25,0
751,84853,325.0,0
752,84854,97.0,0
753,84855,536.19,0
754,84856,146.99,0
755,84857,95.0,0
756,84858,143.0,0
757,84859,24.21,0
758,84860,69.7,0
759,84861,137.79,0
760,84862,2457.42,0
761,84863,2128.6,0
762,84864,168.24,0
763,84865,58.08,0
764,84866,322.0,0
765,84867,31.68,0
766,84868,125.0,0
767,84869,16.5,0
768,84870,255.06,0
769,84871,250.0,0
770,84872,1225.0,0
771,84873,529.65,0
772,84874,375.0,0
773,84875,459.0,0
774,84876,832.2,0
775,84877,425.0,0
776,84878,2035.8,0
777,84879,38.21,0
778,84880,1037.0,0
779,84881,2.56,0
780,84882,195.0,0
781,84883,4.99,0
782,84884,109.55,0
783,84885,47.96,0
784,84886,12.23,0
785,84887,30.0,0
786,84888,24.95,0
787,84889,25.99,0
788,84890,601.48,0
789,84891,18.0,0
790,84892,7.83,0
791,84893,2092.2,0
792,84894,340.0,0
793,84895,309.06,0
794,84896,1964.83,0
795,84897,100.41,0
796,84898,12.98,0
797,84899,158.12,0
798,84900,217.58,0
799,84901,461.78,0
800,84902,151.5,0
801,84903,327.58,0
802,84904,99.0,0
803,84905,452.25,0
804,84906,30.61,0
805,84907,800.0,0
806,84908,769.42,0
807,84909,750.0,0
808,84910,884.59,0
809,84911,208.0,0
810,84912,10.29,0
811,84913,1019.0,0
812,84914,2400.0,0
813,84915,10.39,0
814,84916,92.19,0
815,84917,916.68,0
816,84918,95.12,0
817,84919,395.0,0
818,84920,483.95,0
819,84921,6.78,0
820,84922,2052.56,0
821,84923,1.9,0
822,84924,281.22,0
823,84925,25.83,0
824,84926,300.0,0
825,84928,176.27,0
826,84929,475.0,0
827,84930,19.19,0
828,84931,1122.0,0
829,84932,27.44,0
830,84933,80.79,0
831,84934,850.0,0
832,84935,720.05,0
833,84936,2.62,0
834,84937,20.15,0
835,84938,613.68,0
836,84939,433.96,0
837,84940,285.0,0
838,84941,318.0,0
839,84942,23.33,0
840,84943,19.95,0
841,84944,27.85,0
842,84945,46.75,0
843,84946,41.1,0
844,84947,147.4,0
845,84948,375.0,0
846,84949,180.0,0
847,84950,132.6,0
848,84951,1917.0,0
849,84952,304.0,0
850,84953,726.0,0
851,84954,124.75,0
852,84955,205.47,0
853,84956,2224.81,0
854,84957,131.3,0
855,84958,449.99,0
856,84959,127.5,0
857,84960,11.58,0
858,84961,31.32,0
859,84962,27.11,0
860,84963,106.55,0
861,84964,475.0,0
862,84965,101.16,0
863,84966,1910.0,0
864,84967,50.0,0
865,84968,347.0,0
866,84969,264.14,0
867,84970,40.95,0
868,84971,45.18,0
869,84972,475.0,0
870,84973,39.6,0
871,84974,15.75,0
872,84975,566.5,0
873,84976,88.27,0
874,84977,318.54,0
875,84978,108.25,0
876,84979,25.28,0
877,84980,179.0,0
878,84981,435.73,0
879,84982,35.64,0
880,84983,179.0,0
881,84984,91.0,0
882,84985,2368.0,0
883,84986,806.5,0
884,84987,299.7,0
885,84988,361.9,0
886,84989,170.97,0
887,84990,270.72,0
888,84991,21.28,0
889,84992,17.57,0
890,84993,79.9,0
891,84994,338.1,0
892,84995,2149.5,0
893,84996,42.52,0
894,84997,644.32,0
895,84998,343.0,0
896,84999,27.44,0
897,85000,340.76,0
898,85001,369.45,0
899,85002,66.36,0
900,85003,2000.0,0
901,85004,1280.45,0
902,85005,851.82,0
903,85006,116.62,0
904,85007,195.0,0
905,85008,2225.0,0
906,85009,63.75,0
907,85010,17.4,0
908,85011,299.0,0
909,85012,149.0,0
910,85013,315.82,0
911,85014,28.94,0
912,85015,1290.0,0
913,85016,395.0,0
914,85017,214.2,0
915,85018,21.38,0
916,85019,8.73,0
917,85020,2360.0,0
918,85021,29.6,0
919,85022,93.0,0
920,85023,170.8,0
921,85024,1644.0,0
922,85025,50.6,0
923,85026,305.58,0
924,85027,27.44,0
925,85028,111.0,0
926,85029,73.0,0
927,85030,212.12,0
928,85031,317.5,0
929,85032,452.32,0
930,85033,174.0,0
931,85034,99.95,0
932,85035,19.88,0
933,85036,531.06,0
934,85037,405.39,0
935,85038,62.62,0
936,85039,2078.0,0
937,85040,259.74,0
938,85041,1132.2,0
939,85042,2248.44,0
940,85043,790.5,0
941,85044,219.7,0
942,85045,19.95,0
943,85046,385.0,0
944,85047,10.54,0
945,85048,42.01,0
946,85049,375.0,0
947,85050,306.98,0
948,85051,21.0,0
949,85052,87.72,0
950,85053,149.0,0
951,85054,105.0,0
952,85055,5.0,0
953,85056,19.95,0
954,85057,695.0,0
955,85058,15.0,0
956,85059,163.05,0
957,85060,74.22,0
958,85061,40.0,0
959,85062,358.65,0
960,85063,6.9,0
961,85064,78.0,0
962,85065,65.23,0
963,85066,105.45,0
964,85067,558.23,0
965,85068,159.8,0
966,85069,97.85,0
967,85070,72.8,0
968,85071,624.0,0
969,85072,11.55,0
970,85073,9.94,0
971,85074,186.0,0
972,85075,111.38,0
973,85076,60.92,0
974,85077,679.2,0
975,85078,395.0,0
976,85079,10.0,0
977,85080,1558.75,0
978,85081,3.22,0
979,85082,24.34,0
980,85083,64.13,0
981,85084,357.39,0
982,85085,19.9,0
983,85086,393.0,0
984,85087,434.7,0
985,85088,1569.54,0
986,85089,118.71,0
987,85090,185.48,0
988,85091,11.99,0
989,85092,11.26,0
990,85093,794.0,0
991,85094,1351.6,0
992,85095,43.25,0
993,85096,86.0,0
994,85097,210.0,0
995,85098,750.0,0
996,85099,15.6,0
997,85100,102.8,0
998,85101,130.43,0
999,85102,94.2,0
1000,85103,1049.0,0
1001,85104,1239.98,0
1002,85105,395.0,0
1003,85106,29.87,0
1004,85107,25.0,0
1005,85108,2137.0,0
1006,85109,552.2,0
1007,85110,108.15,0
1008,85111,151.88,0
1009,85112,2407.0,0
1010,85113,612.29,0
1011,85114,539.31,0
1012,85115,1634.43,0
1013,85116,857.97,0
1014,85117,27.44,0
1015,85118,113.95,0
1016,85119,13.5,0
1017,85120,266.96,0
1018,85121,369.94,0
1019,85122,32.97,0
1020,85123,170.45,0
1021,85124,395.0,0
1022,85125,180.0,0
1023,85126,99.99,0
1024,85127,195.0,0
1025,85128,290.0,0
1026,85129,30.0,0
1027,85130,1700.07,0
1028,85131,757.0,0
1029,85132,81.5,0
1030,85133,36.84,0
1031,85134,84.06,0
1032,85135,55.7,0
1033,85136,346.82,0
1034,85137,46.16,0
1035,85138,990.0,0
1036,85139,448.56,0
1037,85140,166.65,0
1038,85141,542.4,0
1039,85142,78.36,0
1040,85143,272.67,0
1041,85144,4.07,0
1042,85145,642.9,0
1043,85146,1100.0,0
1044,85147,82.26,0
1045,85148,149.0,0
1046,85149,16.5,0
1047,85150,146.24,0
1048,85151,150.0,0
1049,85152,65.95,0
1050,85153,431.6,0
1051,85154,57.56,0
1052,85155,135.0,0
1053,85156,24.84,0
1054,85157,685.06,0
1055,85158,1702.0,0
1056,85159,945.0,0
1057,85160,144.54,0
1058,85161,58.0,0
1059,85162,77.5,0
1060,85163,988.0,0
1061,85164,100.0,0
1062,85165,3.57,0
1063,85166,160.91,0
1064,85167,880.0,0
1065,85168,97.58,0
1066,85169,121.96,0
1067,85170,511.0,0
1068,85171,189.18,0
1069,85172,24.0,0
1070,85173,15.0,0
1071,85174,21.98,0
1072,85175,1100.99,0
1073,85176,22.18,0
1074,85177,42.12,0
1075,85178,71.5,0
1076,85179,70.88,0
1077,85180,842.1,0
1078,85181,569.86,0
1079,85182,186.95,0
1080,85183,38.94,0
1081,85184,186.2,0
1082,85185,325.1,0
1083,85186,366.0,0
1084,85187,16.5,0
1085,85188,1240.0,0
1086,85189,112.18,0
1087,85190,395.0,0
1088,85191,49.17,0
1089,85192,1175.0,0
1090,85193,495.0,0
1091,85194,59.28,0
1092,85195,47.0,0
1093,85196,109.9,0
1094,85197,6.84,0
1095,85198,31.33,0
1096,85199,112.37,0
1097,85200,15.69,0
1098,85201,14.28,0
1099,85202,168.0,0
1100,85203,83.0,0
1101,85204,396.9,0
1102,85205,207.43,0
1103,85206,124.03,0
1104,85207,290.0,0
1105,85208,450.0,0
1106,85209,301.61,0
1107,85210,2307.02,0
1108,85211,70.88,0
1109,85212,97.58,0
1110,85213,31.68,0
1111,85214,57.0,0
1112,85215,453.53,0
1113,85216,27.0,0
1114,85217,990.0,0
1115,85218,20.0,0
1116,85219,61.9,0
1117,85220,208.7,0
1118,85221,125.0,0
1119,85222,16.91,0
1120,85223,1193.0,0
1121,85224,119.52,0
1122,85225,16.32,0
1123,85226,92.1,0
1124,85227,23.21,0
1125,85228,53.0,0
1126,85229,2123.0,0
1127,85230,131.31,0
1128,85231,166.65,0
1129,85232,141.0,0
1130,85233,29.65,0
1131,85234,698.3,0
1132,85235,62.82,0
1133,85236,143.88,0
1134,85237,79.0,0
1135,85238,389.0,0
1136,85239,814.58,0
1137,85240,54.0,0
1138,85241,309.92,0
1139,85242,500.35,0
1140,85243,115.2,0
1141,85244,42.4,0
1142,85245,457.49,0
1143,85246,312.0,0
1144,85247,193.67,0
1145,85248,452.52,0
1146,85249,193.8,0
1147,85250,7.2,0
1148,85251,83.5,0
1149,85252,38.15,0
1150,85253,165.0,0
1151,85254,62.79,0
1152,85255,54.4,0
1153,85256,46.75,0
1154,85257,51.92,0
1155,85258,72.25,0
1156,85259,95.51,0
1157,85260,508.0,0
1158,85261,462.78,0
1159,85262,1209.09,0
1160,85263,259.88,0
1161,85264,159.43,0
1162,85265,61.9,0
1163,85266,79.76,0
1164,85267,35.99,0
1165,85268,294.0,0
1166,85269,14.28,0
1167,85270,94.88,0
1168,85271,669.68,0
1169,85272,101.0,0
1170,85273,784.0,0
1171,85274,93.31,0
1172,85275,4.0,0
1173,85276,21.1,0
1174,85277,115.2,0
1175,85278,134.22,0
1176,85279,60.98,0
1177,85280,264.0,0
1178,85281,186.0,0
1179,85282,509.0,0
1180,85283,751.0,0
1181,85284,665.04,0
1182,85285,84.06,0
1183,85286,30.6,0
1184,85287,897.5,0
1185,85288,206.07,0
1186,85289,45.0,0
1187,85290,950.0,0
1188,85291,40.0,0
1189,85292,1685.82,0
1190,85293,44.0,0
1191,85294,650.0,0
1192,85295,177.44,0
1193,85296,120.0,0
1194,85297,330.0,0
1195,85298,295.0,0
1196,85299,297.0,0
1197,85300,469.0,0
1198,85301,1280.45,0
1199,85302,760.0,0
1200,85303,146.85,0
1201,85304,57.5,0
1202,85305,121.96,0
1203,85306,104.97,0
1204,85307,183.0,0
1205,85308,42.12,0
1206,85309,456.0,0
1207,85310,239.38,0
1208,85311,22.07,0
1209,85312,52.0,0
1210,85313,92.1,0
1211,85314,1073.87,0
1212,85315,1890.0,0
1213,85316,2047.6,0
1214,85317,271.79,0
1215,85318,59.28,0
1216,85319,3.95,0
1217,85320,91.53,0
1218,85321,40.5,0
1219,85322,533.5,0
1220,85323,79.68,0
1221,85324,77.0,0
1222,85325,380.16,0
1223,85326,55.85,0
1224,85327,7.3,0
1225,85328,1069.65,0
1226,85329,83.79,0
1227,85330,331.16,0
1228,85331,40.5,0
1229,85332,689.6,0
1230,85333,398.0,0
1231,85334,63.0,0
1232,85335,178.36,0
1233,85336,655.0,0
1234,85337,50.05,0
1235,85338,239.0,0
