,cardnum_amount_sum_3,cardnum_amount_week_diff_sum_3,cardnum_amount_week_diff_sum_1,merchantnum_amount_week_diff_sum_3,cardnum_merchantnum_30,cardnum_amount_month_diff_max_3,merchantnum_amount_sum_3,cardnum_amount_month_diff_sum_3,merchantnum_amount_sum_7,cardnum_amount_sum_7,merchantnum_amount_max_3,merchantnum_amount_week_diff_sum_1,cardnum_amount_week_diff_max_3,merchantnum_amount_week_diff_max_3,cardnum_amount_max_3,merchantnum_amount_month_diff_max_3,merchantnum_amount_month_diff_sum_3,cardnum_zip_30,cardnum_merchantnum_15,merchantnum_amount_week_diff_max_1,Fraud
26,25.77,-359.08595831983587,-359.08595831983587,-359.08595831983587,2,-405.5161866575669,25.77,-405.5161866575669,25.77,35.93,25.77,-359.08595831983587,-359.08595831983587,-359.08595831983587,25.77,-405.5161866575669,-405.5161866575669,1,2,-359.08595831983587,0
27,1000.0,615.144041680164,615.144041680164,615.144041680164,14,568.713813342433,1000.0,568.713813342433,1000.0,1205.0,1000.0,615.144041680164,615.144041680164,615.144041680164,1000.0,568.713813342433,568.713813342433,14,7,615.144041680164,0
28,138.95,-245.9059583198359,-245.9059583198359,-245.9059583198359,3,-292.33618665756694,138.95,-292.33618665756694,258.79999999999995,278.95,138.95,-245.9059583198359,-245.9059583198359,-245.9059583198359,138.95,-292.33618665756694,-292.33618665756694,3,2,-245.9059583198359,0
29,7.86,-761.8519166396718,-761.8519166396718,-761.8519166396718,9,-424.8861866575669,7.86,-854.7123733151338,379.84,310.64999999999986,6.4,-761.8519166396718,-378.455958319836,-378.455958319836,6.4,-424.8861866575669,-854.7123733151338,8,7,-378.455958319836,0
30,68.0,-316.8559583198359,-316.8559583198359,-316.8559583198359,33,-363.28618665756693,68.0,-363.28618665756693,68.0,22219.88,68.0,-316.8559583198359,-316.8559583198359,-316.8559583198359,68.0,-363.28618665756693,-363.28618665756693,29,15,-316.8559583198359,0
31,636.0,251.14404168016412,251.14404168016412,251.14404168016412,8,204.7138133424331,636.0,204.7138133424331,636.0,2652.08,636.0,251.14404168016412,251.14404168016412,251.14404168016412,636.0,204.7138133424331,204.7138133424331,8,5,251.14404168016412,0
32,793.6500000000002,29.375704898215126,35.694041680164105,35.694041680164105,10,-10.736186657566918,420.55,-117.1619418967918,1330.35,2379.100000000001,420.55,35.694041680164105,35.694041680164105,35.694041680164105,420.55,-10.736186657566918,-10.736186657566918,8,7,35.694041680164105,0
33,480.0,-289.7119166396718,-289.7119166396718,-289.7119166396718,4,-131.28618665756693,480.0,-382.5723733151338,480.0,3075.0,300.0,-289.7119166396718,-84.8559583198359,-84.8559583198359,300.0,-131.28618665756693,-382.5723733151338,3,3,-84.8559583198359,0
34,318.41,-453.7711665700022,-349.9459583198359,-453.7711665700022,7,-196.02575523922488,318.41,-592.4019418967919,547.59,1679.46,283.5,-349.9459583198359,-103.82520825016633,-103.82520825016633,283.5,-196.02575523922488,-592.4019418967919,6,4,-349.9459583198359,0
35,80.0,-304.8559583198359,-304.8559583198359,-304.8559583198359,5,-351.28618665756693,80.0,-351.28618665756693,80.0,762.0,80.0,-304.8559583198359,-304.8559583198359,-304.8559583198359,80.0,-351.28618665756693,-351.28618665756693,3,3,-304.8559583198359,0
36,179.99,-204.8659583198359,-204.8659583198359,-204.8659583198359,6,-251.29618665756686,179.99,-251.29618665756686,179.99,340.81,179.99,-204.8659583198359,-204.8659583198359,-204.8659583198359,179.99,-251.29618665756686,-251.29618665756686,7,3,-204.8659583198359,0
37,176.12,-208.7359583198359,-208.7359583198359,-208.7359583198359,3,-255.1661866575669,176.12,-255.1661866575669,176.12,176.12,176.12,-208.7359583198359,-208.7359583198359,-208.7359583198359,176.12,-255.1661866575669,-255.1661866575669,2,2,-208.7359583198359,0
38,84.51,-300.3459583198359,-300.3459583198359,-300.3459583198359,9,-346.7761866575669,84.51,-346.7761866575669,84.51,1259.66,84.51,-300.3459583198359,-300.3459583198359,-300.3459583198359,84.51,-346.7761866575669,-346.7761866575669,8,6,-300.3459583198359,0
39,288.4600000000001,-481.2519166396718,-481.2519166396718,-276.385958319836,7,-251.29618665756686,108.47,-574.1123733151339,108.47,449.28,108.47,-276.385958319836,-204.8659583198359,-276.385958319836,179.99,-322.81618665756696,-322.81618665756696,8,4,-276.385958319836,0
40,27.31,-357.5459583198359,-357.5459583198359,-357.5459583198359,1,-403.9761866575669,27.31,-403.9761866575669,27.31,27.31,27.31,-357.5459583198359,-357.5459583198359,-357.5459583198359,27.31,-403.9761866575669,-403.9761866575669,1,1,-357.5459583198359,0
41,76.95,-307.9059583198359,-307.9059583198359,-307.9059583198359,10,-354.3361866575669,76.95,-354.3361866575669,76.95,704.7800000000002,76.95,-307.9059583198359,-307.9059583198359,-307.9059583198359,76.95,-354.3361866575669,-354.3361866575669,9,6,-307.9059583198359,0
42,1168.47,398.75808336032816,398.75808336032816,398.75808336032816,14,568.713813342433,1168.47,305.89762668486605,1168.47,1373.47,1000.0,398.75808336032816,615.144041680164,615.144041680164,1000.0,568.713813342433,305.89762668486605,14,7,615.144041680164,0
43,1080.65,-68.48025342162077,-62.161916639671794,-429.71191663967176,11,-10.736186657566918,340.0,-261.44812855435873,340.0,2666.100000000001,287.0,-429.71191663967176,35.694041680164105,-97.8559583198359,420.55,-144.2861866575669,-522.5723733151339,8,8,-97.8559583198359,0
44,730.0,-424.56787495950766,-424.56787495950766,-424.56787495950766,4,-131.28618665756693,730.0,-563.8585599727007,730.0,3325.0,300.0,-424.56787495950766,-84.8559583198359,-84.8559583198359,300.0,-131.28618665756693,-563.8585599727007,3,3,-84.8559583198359,0
45,6.87,-377.9859583198359,-377.9859583198359,-377.9859583198359,4,-424.4161866575669,6.87,-424.4161866575669,6.87,38.75,6.87,-377.9859583198359,-377.9859583198359,-377.9859583198359,6.87,-424.4161866575669,-424.4161866575669,3,4,-377.9859583198359,0
46,138.85,-630.8619166396718,-630.8619166396718,-728.7178749595078,8,-345.4361866575669,425.85,-723.7223733151338,425.85,388.73,287.0,-728.7178749595078,-299.00595831983594,-97.8559583198359,85.85,-144.2861866575669,-868.0085599727008,7,6,-97.8559583198359,0
47,113.96,-270.89595831983587,-270.89595831983587,-270.89595831983587,5,-317.32618665756695,113.96,-317.32618665756695,347.89,737.4300000000002,113.96,-270.89595831983587,-270.89595831983587,-270.89595831983587,113.96,-317.32618665756695,-317.32618665756695,5,3,-270.89595831983587,0
48,32.95,-351.9059583198359,-351.9059583198359,-351.9059583198359,2,-398.3361866575669,32.95,-398.3361866575669,32.95,50.91,32.95,-351.9059583198359,-351.9059583198359,-351.9059583198359,32.95,-398.3361866575669,-398.3361866575669,2,2,-351.9059583198359,0
49,219.67,-165.18595831983592,-165.18595831983592,-165.18595831983592,6,-211.6161866575669,219.67,-211.6161866575669,219.67,568.42,219.67,-165.18595831983592,-165.18595831983592,-165.18595831983592,219.67,-211.6161866575669,-211.6161866575669,5,4,-165.18595831983592,0
50,36.95,-347.9059583198359,-347.9059583198359,-347.9059583198359,11,-394.3361866575669,36.95,-394.3361866575669,36.95,2608.7699999999995,36.95,-347.9059583198359,-347.9059583198359,-347.9059583198359,36.95,-394.3361866575669,-394.3361866575669,11,8,-347.9059583198359,0
51,242.29,-521.9842951017849,-289.51595831983593,-289.51595831983593,5,-332.5757552392249,95.34,-668.5219418967919,95.34,242.29,95.34,-289.51595831983593,-232.468336781949,-289.51595831983593,146.95,-335.94618665756695,-335.94618665756695,5,4,-289.51595831983593,0
52,454.48,69.62404168016411,69.62404168016411,69.62404168016411,4,23.19381334243309,454.48,23.19381334243309,704.48,454.48,454.48,69.62404168016411,69.62404168016411,69.62404168016411,454.48,23.19381334243309,23.19381334243309,4,3,69.62404168016411,0
53,2357.07,1587.358083360328,1587.358083360328,1336.214041680164,8,1289.783813342433,1721.07,1494.497626684866,2027.15,4373.15,1721.07,1336.214041680164,1336.214041680164,1336.214041680164,1721.07,1289.783813342433,1289.783813342433,8,5,1336.214041680164,0
54,453.6,68.74404168016412,68.74404168016412,68.74404168016412,1,22.313813342433097,453.6,22.313813342433097,3737.87,453.6,453.6,68.74404168016412,68.74404168016412,68.74404168016412,453.6,22.313813342433097,22.313813342433097,1,1,68.74404168016412,0
55,1080.0,-459.4238332793436,-459.4238332793436,-459.4238332793436,4,-81.28618665756694,1080.0,-645.1447466302677,1080.0,3675.0,350.0,-459.4238332793436,-34.855958319835906,-34.855958319835906,350.0,-81.28618665756694,-645.1447466302677,3,3,-34.855958319835906,0
56,325.0,-59.85595831983591,-59.85595831983591,-59.85595831983591,5,-106.28618665756693,325.0,-106.28618665756693,325.0,1818.84,325.0,-59.85595831983591,-59.85595831983591,-59.85595831983591,325.0,-106.28618665756693,-106.28618665756693,4,2,-59.85595831983591,0
57,75.87,-308.9859583198359,-308.9859583198359,-308.9859583198359,14,-355.4161866575669,75.87,-355.4161866575669,75.87,300.27,75.87,-308.9859583198359,-308.9859583198359,-308.9859583198359,75.87,-355.4161866575669,-355.4161866575669,8,10,-308.9859583198359,0
58,3.0,-381.8559583198359,-381.8559583198359,-381.8559583198359,1,-428.28618665756693,3.0,-428.28618665756693,3.0,3.0,3.0,-381.8559583198359,-381.8559583198359,-381.8559583198359,3.0,-428.28618665756693,-428.28618665756693,1,1,-381.8559583198359,0
59,2313.63,1543.9180833603284,1543.9180833603284,1831.6040416801638,5,1785.1738133424328,2216.46,1451.0576266848661,2216.46,2313.63,2216.46,1831.6040416801638,1831.6040416801638,1831.6040416801638,2216.46,1785.1738133424328,1785.1738133424328,4,3,1831.6040416801638,0
60,457.0,72.1440416801641,72.1440416801641,72.1440416801641,2,25.71381334243307,457.0,25.71381334243307,2540.66,457.0,457.0,72.1440416801641,72.1440416801641,72.1440416801641,457.0,25.71381334243307,25.71381334243307,2,1,72.1440416801641,0
61,2440.52,1668.338833429998,2048.1440416801643,2048.1440416801643,13,2001.7138133424328,2433.0,1529.708058103208,11478.79,5263.87,2433.0,2048.1440416801643,2048.1440416801643,2048.1440416801643,2433.0,2001.7138133424328,2001.7138133424328,13,11,2048.1440416801643,0
62,136.0,-633.7119166396718,-633.7119166396718,-316.8559583198359,33,-363.28618665756693,68.0,-726.5723733151339,368.0,22287.88,68.0,-316.8559583198359,-316.8559583198359,-316.8559583198359,68.0,-363.28618665756693,-363.28618665756693,29,15,-316.8559583198359,0
63,481.51,-282.76429510178485,-357.6559583198359,-357.6559583198359,3,-25.215755239224904,27.2,-429.3019418967919,689.2,481.51,27.2,-357.6559583198359,74.89166321805101,-357.6559583198359,454.31,-404.0861866575669,-404.0861866575669,3,2,-357.6559583198359,0
64,72.84,-312.01595831983593,-312.01595831983593,-312.01595831983593,12,-358.4461866575669,72.84,-358.4461866575669,1291.2299999999998,300.4500000000001,72.84,-312.01595831983593,-312.01595831983593,-312.01595831983593,72.84,-358.4461866575669,-358.4461866575669,13,7,-312.01595831983593,0
65,673.4,288.54404168016407,288.54404168016407,288.54404168016407,9,242.11381334243302,673.4,242.11381334243302,1030.14,804.22,673.4,288.54404168016407,288.54404168016407,288.54404168016407,673.4,242.11381334243302,242.11381334243302,9,7,288.54404168016407,0
66,15.0,-369.8559583198359,-369.8559583198359,-739.7119166396718,1,-416.28618665756693,30.0,-416.28618665756693,45.0,15.0,15.0,-739.7119166396718,-369.8559583198359,-369.8559583198359,15.0,-416.28618665756693,-832.5723733151339,1,1,-369.8559583198359,0
67,211.25,-558.4619166396718,-558.4619166396718,-355.6059583198359,10,-249.2861866575669,29.25,-651.3223733151339,10303.75,3451.6900000000005,29.25,-355.6059583198359,-202.85595831983588,-355.6059583198359,182.0,-402.03618665756693,-402.03618665756693,7,10,-355.6059583198359,0
68,81.96000000000002,-687.7519166396719,-687.7519166396719,-687.7519166396719,4,-374.3261866575669,81.96000000000002,-780.6123733151338,81.96000000000002,81.96000000000002,56.96,-687.7519166396719,-327.89595831983587,-327.89595831983587,56.96,-374.3261866575669,-780.6123733151338,4,4,-327.89595831983587,0
69,6.0,-378.8559583198359,-378.8559583198359,-378.8559583198359,6,-425.28618665756693,6.0,-425.28618665756693,6.0,6.0,6.0,-378.8559583198359,-378.8559583198359,-378.8559583198359,6.0,-425.28618665756693,-425.28618665756693,3,1,-378.8559583198359,0
70,1028.9,644.0440416801641,644.0440416801641,644.0440416801641,12,597.6138133424331,1028.9,597.6138133424331,1028.9,2095.57,1028.9,644.0440416801641,644.0440416801641,644.0440416801641,1028.9,597.6138133424331,597.6138133424331,12,7,644.0440416801641,0
71,728.36,343.5040416801641,343.5040416801641,343.5040416801641,15,297.07381334243314,728.36,297.07381334243314,728.36,3046.9400000000005,728.36,343.5040416801641,343.5040416801641,343.5040416801641,728.36,297.07381334243314,297.07381334243314,14,5,343.5040416801641,0
72,500.0,115.1440416801641,115.1440416801641,115.1440416801641,4,68.71381334243307,500.0,68.71381334243307,1277.28,1791.28,500.0,115.1440416801641,115.1440416801641,115.1440416801641,500.0,68.71381334243307,68.71381334243307,4,2,115.1440416801641,0
73,61.55,-323.3059583198359,-323.3059583198359,-323.3059583198359,6,-369.7361866575669,61.55,-369.7361866575669,138.19,3038.9000000000005,61.55,-323.3059583198359,-323.3059583198359,-323.3059583198359,61.55,-369.7361866575669,-369.7361866575669,4,4,-323.3059583198359,0
74,146.0,-238.85595831983588,-238.85595831983588,-238.85595831983588,5,-285.28618665756693,146.0,-285.28618665756693,1105.9,1310.98,146.0,-238.85595831983588,-238.85595831983588,-238.85595831983588,146.0,-285.28618665756693,-285.28618665756693,5,2,-238.85595831983588,0
75,19.95,-364.9059583198359,-364.9059583198359,-364.9059583198359,14,-411.3361866575669,19.95,-411.3361866575669,19.95,564.9300000000002,19.95,-364.9059583198359,-364.9059583198359,-364.9059583198359,19.95,-411.3361866575669,-411.3361866575669,13,11,-364.9059583198359,0
76,18.0,-366.8559583198359,-366.8559583198359,-366.8559583198359,3,-413.28618665756693,18.0,-413.28618665756693,47.75,18.0,18.0,-366.8559583198359,-366.8559583198359,-366.8559583198359,18.0,-413.28618665756693,-413.28618665756693,3,2,-366.8559583198359,0
77,64.49,-320.3659583198359,-320.3659583198359,-320.3659583198359,2,-366.7961866575669,64.49,-366.7961866575669,1687.86,64.49,64.49,-320.3659583198359,-320.3659583198359,-320.3659583198359,64.49,-366.7961866575669,-366.7961866575669,3,1,-320.3659583198359,0
78,401.85,-752.7178749595078,-752.7178749595078,-850.5738332793437,8,-168.2861866575669,688.85,-892.0085599727008,688.85,651.73,287.0,-850.5738332793437,-121.8559583198359,-97.8559583198359,263.0,-144.2861866575669,-1036.2947466302678,7,6,-97.8559583198359,0
79,241.95,-527.7619166396719,-527.7619166396719,-179.85595831983588,12,-226.2861866575669,205.0,-620.6223733151339,1975.0,2813.7699999999995,205.0,-179.85595831983588,-179.85595831983588,-179.85595831983588,205.0,-226.2861866575669,-226.2861866575669,12,9,-179.85595831983588,0
80,1276.0,121.43212504049221,121.43212504049221,755.144041680164,34,708.713813342433,1140.0,-17.858559972700842,1140.0,23427.88,1140.0,755.144041680164,755.144041680164,755.144041680164,1140.0,708.713813342433,708.713813342433,30,16,755.144041680164,0
81,582.42,197.56404168016402,197.56404168016402,197.56404168016402,12,151.13381334243303,582.42,151.13381334243303,2253.09,974.35,582.42,197.56404168016402,197.56404168016402,197.56404168016402,582.42,151.13381334243303,151.13381334243303,12,5,197.56404168016402,0
82,125.73,-259.1259583198359,-259.1259583198359,-190.38191663967174,1,-305.55618665756685,579.33,-305.55618665756685,3863.6,125.73,453.6,-190.38191663967174,-259.1259583198359,68.74404168016412,125.73,22.313813342433097,-283.2423733151338,1,1,68.74404168016412,0
83,303.02,-466.6919166396718,-466.6919166396718,-466.6919166396718,2,-279.7761866575669,303.02,-559.5523733151339,303.02,303.02,151.51,-466.6919166396718,-233.3459583198359,-233.3459583198359,151.51,-279.7761866575669,-559.5523733151339,2,2,-233.3459583198359,0
84,1376.81,233.1173681162661,-318.2059583198359,-318.2059583198359,12,194.63424476077503,66.65,-13.52769713601674,66.65,3201.7000000000007,66.65,-318.2059583198359,294.741663218051,-318.2059583198359,674.16,-364.6361866575669,-364.6361866575669,12,11,-318.2059583198359,0
85,50.84,-334.01595831983593,-334.01595831983593,-334.01595831983593,1,-380.4461866575669,50.84,-380.4461866575669,50.84,50.84,50.84,-334.01595831983593,-334.01595831983593,-334.01595831983593,50.84,-380.4461866575669,-380.4461866575669,1,1,-334.01595831983593,0
86,1330.0,-594.2797915991796,-594.2797915991796,-594.2797915991796,4,-81.28618665756694,1330.0,-826.4309332878348,1330.0,3925.0,350.0,-594.2797915991796,-34.855958319835906,-34.855958319835906,350.0,-81.28618665756694,-826.4309332878348,3,3,-34.855958319835906,0
87,38.79,-730.9219166396717,-730.9219166396717,-366.015958319836,14,-411.3361866575669,18.84,-823.7823733151338,18.84,583.7700000000002,18.84,-366.015958319836,-364.9059583198359,-366.015958319836,19.95,-412.4461866575669,-412.4461866575669,13,11,-366.015958319836,0
88,448.0,63.1440416801641,63.1440416801641,63.1440416801641,15,16.71381334243307,448.0,16.71381334243307,448.0,861.66,448.0,63.1440416801641,63.1440416801641,63.1440416801641,448.0,16.71381334243307,16.71381334243307,13,10,63.1440416801641,0
89,328.07,-56.78595831983591,-56.78595831983591,-56.78595831983591,2,-103.21618665756692,328.07,-103.21618665756692,328.07,328.07,328.07,-56.78595831983591,-56.78595831983591,-56.78595831983591,328.07,-103.21618665756692,-103.21618665756692,1,1,-56.78595831983591,0
90,790.85,405.9940416801641,405.9940416801641,405.9940416801641,19,359.5638133424331,790.85,359.5638133424331,1611.43,4950.96,790.85,405.9940416801641,405.9940416801641,405.9940416801641,790.85,359.5638133424331,359.5638133424331,16,16,405.9940416801641,0
91,15.16,-369.6959583198359,-369.6959583198359,-369.6959583198359,1,-416.1261866575669,15.16,-416.1261866575669,15.16,15.16,15.16,-369.6959583198359,-369.6959583198359,-369.6959583198359,15.16,-416.1261866575669,-416.1261866575669,1,1,-369.6959583198359,0
92,333.18,-51.6759583198359,-51.6759583198359,-51.6759583198359,1,-98.10618665756692,333.18,-98.10618665756692,333.18,333.18,333.18,-51.6759583198359,-51.6759583198359,-51.6759583198359,333.18,-98.10618665756692,-98.10618665756692,1,1,-51.6759583198359,0
93,1938.43,1174.155704898215,1293.144041680164,1293.144041680164,8,1246.713813342433,1678.0,1027.618058103208,1678.0,11835.92,1678.0,1293.144041680164,1293.144041680164,1293.144041680164,1678.0,1246.713813342433,1246.713813342433,7,4,1293.144041680164,0
94,800.91,31.198083360328155,31.198083360328155,31.198083360328155,9,285.11381334243305,800.91,-61.662373315133884,800.91,1976.06,716.4,31.198083360328155,331.54404168016407,331.54404168016407,716.4,285.11381334243305,-61.662373315133884,8,6,331.54404168016407,0
95,7.3,-377.5559583198359,-377.5559583198359,-377.5559583198359,18,-423.9861866575669,7.3,-423.9861866575669,7.3,95.2,7.3,-377.5559583198359,-377.5559583198359,-377.5559583198359,7.3,-423.9861866575669,-423.9861866575669,17,8,-377.5559583198359,0
96,59.99,-324.8659583198359,-324.8659583198359,-324.8659583198359,2,-371.2961866575669,59.99,-371.2961866575669,59.99,59.99,59.99,-324.8659583198359,-324.8659583198359,-324.8659583198359,59.99,-371.2961866575669,-371.2961866575669,2,1,-324.8659583198359,0
97,841.95,72.23808336032823,72.23808336032823,-333.7559583198359,20,359.5638133424331,51.1,-20.622373315133814,51.1,5002.06,51.1,-333.7559583198359,405.9940416801641,-333.7559583198359,790.85,-380.1861866575669,-380.1861866575669,17,17,-333.7559583198359,0
98,300.0,-84.8559583198359,-84.8559583198359,-84.8559583198359,3,-131.28618665756693,300.0,-131.28618665756693,300.0,992.0,300.0,-84.8559583198359,-84.8559583198359,-84.8559583198359,300.0,-131.28618665756693,-131.28618665756693,3,2,-84.8559583198359,0
99,7.95,-376.9059583198359,-376.9059583198359,-376.9059583198359,5,-423.3361866575669,7.95,-423.3361866575669,7.95,170.68,7.95,-376.9059583198359,-376.9059583198359,-376.9059583198359,7.95,-423.3361866575669,-423.3361866575669,4,5,-376.9059583198359,0
